filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1441,advanced_random,dorothea_39,,,,,0.025,17.334,0.028,0.026,0.0,0.078,0.142,0.563,1.0,1.0,,
baseline_advanced_random_1016_1442,advanced_random,dorothea_39,,,,,0.025,17.334,0.028,0.026,0.0,0.078,0.142,0.563,1.0,1.0,,
baseline_advanced_random_1016_1457,advanced_random,dorothea_39,,,,,0.025,17.334,0.028,0.026,0.0,0.078,0.142,0.563,1.0,1.0,,
baseline_advanced_random_1016_1505,advanced_random,dorothea_39,,,,,0.025,17.334,0.028,0.026,0.0,0.078,0.142,0.563,1.0,1.0,,
baseline_advanced_random_1016_1609,advanced_random,dorothea_39,,,,,0.025,17.022,0.029,0.026,0.0,0.078,0.149,0.56,1.0,1.0,,
baseline_advanced_random_1016_1631,advanced_random,dorothea_39,,,,,0.025,17.022,0.029,0.026,0.0,0.078,0.149,0.56,1.0,1.0,,
baseline_jordan_1016_1441,jordan,dorothea_39,,,,,0.363,5.767,0.211,0.026,0.0,1.0,0.646,0.892,1.0,1.0,,
baseline_jordan_1016_1442,jordan,dorothea_39,,,,,0.363,5.767,0.211,0.026,0.0,1.0,0.646,0.892,1.0,1.0,,
baseline_jordan_1016_1457,jordan,dorothea_39,,,,,0.363,5.767,0.211,0.026,0.0,1.0,0.646,0.892,1.0,1.0,,
baseline_jordan_1016_1505,jordan,dorothea_39,,,,,0.363,5.767,0.211,0.026,0.0,1.0,0.646,0.892,1.0,1.0,,
baseline_jordan_1016_1609,jordan,dorothea_39,,,,,0.364,5.584,0.184,0.026,0.0,1.0,0.633,0.901,1.0,1.0,,
baseline_jordan_1016_1631,jordan,dorothea_39,,,,,0.364,5.584,0.184,0.026,0.0,1.0,0.633,0.901,1.0,1.0,,
baseline_overlap_1016_1441,overlap,dorothea_39,,,,,0.204,10.358,0.032,0.026,0.0,0.064,0.344,0.8,1.0,1.0,,
baseline_overlap_1016_1442,overlap,dorothea_39,,,,,0.204,10.358,0.032,0.026,0.0,0.064,0.344,0.8,1.0,1.0,,
baseline_overlap_1016_1457,overlap,dorothea_39,,,,,0.204,10.358,0.032,0.026,0.0,0.064,0.344,0.8,1.0,1.0,,
baseline_overlap_1016_1505,overlap,dorothea_39,,,,,0.204,10.358,0.032,0.026,0.0,0.064,0.344,0.8,1.0,1.0,,
baseline_overlap_1016_1609,overlap,dorothea_39,,,,,0.176,10.31,0.032,0.026,0.0,0.302,0.328,0.82,1.0,1.0,,
baseline_overlap_1016_1631,overlap,dorothea_39,,,,,0.176,10.31,0.032,0.026,0.0,0.302,0.328,0.82,1.0,1.0,,
baseline_random_1016_1441,random,dorothea_39,,,,,0.024,19.328,0.025,0.026,0.0,0.07,0.124,0.495,1.0,1.0,,
baseline_random_1016_1442,random,dorothea_39,,,,,0.024,19.328,0.025,0.026,0.0,0.07,0.124,0.495,1.0,1.0,,
baseline_random_1016_1457,random,dorothea_39,,,,,0.024,19.328,0.025,0.026,0.0,0.07,0.124,0.495,1.0,1.0,,
baseline_random_1016_1505,random,dorothea_39,,,,,0.024,19.328,0.025,0.026,0.0,0.07,0.124,0.495,1.0,1.0,,
baseline_random_1016_1609,random,dorothea_39,,,,,0.024,19.024,0.026,0.026,0.0,0.07,0.13,0.512,1.0,1.0,,
baseline_random_1016_1631,random,dorothea_39,,,,,0.024,19.024,0.026,0.026,0.0,0.07,0.13,0.512,1.0,1.0,,
baseline_smallestSuperset_1016_1441,smallestSuperset,dorothea_39,,,,,0.198,10.47,0.206,0.026,0.0,1.0,0.324,0.812,1.0,1.0,,
baseline_smallestSuperset_1016_1442,smallestSuperset,dorothea_39,,,,,0.198,10.47,0.206,0.026,0.0,1.0,0.324,0.812,1.0,1.0,,
baseline_smallestSuperset_1016_1457,smallestSuperset,dorothea_39,,,,,0.198,10.47,0.206,0.026,0.0,1.0,0.324,0.812,1.0,1.0,,
baseline_smallestSuperset_1016_1505,smallestSuperset,dorothea_39,,,,,0.198,10.47,0.206,0.026,0.0,1.0,0.324,0.812,1.0,1.0,,
baseline_smallestSuperset_1016_1609,smallestSuperset,dorothea_39,,,,,0.182,10.261,0.182,0.026,0.0,1.0,0.323,0.814,1.0,1.0,,
baseline_smallestSuperset_1016_1631,smallestSuperset,dorothea_39,,,,,0.182,10.261,0.182,0.026,0.0,1.0,0.323,0.814,1.0,1.0,,
gat_1016_1611,gat,dorothea_39,39.0,35.0,1.0,0.297,0.532,2.404,0.63,0.104,0.0,0.999,0.775,1.0,1.0,1.0,,
gat_1016_1642,gat,dorothea_39,39.0,35.0,1.0,0.297,0.532,2.548,0.641,0.109,0.0,0.999,0.759,1.0,1.0,1.0,,
pdgrapher_1016_1618,pdgrapher,dorothea_39,39.0,35.0,1.0,0.297,0.032,24.181,-0.241,0.03,-1.503,2.741,0.097,0.304,1.0,1.0,"{'recall@1': 0.0323, 'recall@10': 0.2444, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5109, 'ranking_score_dcg': 0.1689, 'perc_partially_accurate_predictions': 3.23, 'recall@1_std': 0.1767, 'recall@10_std': 0.4297, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2801, 'ranking_score_dcg_std': 0.1956, 'perc_partially_accurate_predictions_std': 17.67, 'total_samples': 806, 'avg_topk': 19.9268}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1016_1643,pdgrapher,dorothea_39,39.0,35.0,1.0,0.297,0.115,9.738,0.465,-0.425,-2.776,2.414,0.535,0.777,1.0,1.0,"{'recall@1': 0.0347, 'recall@10': 0.2928, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5395, 'ranking_score_dcg': 0.1855, 'perc_partially_accurate_predictions': 3.47, 'recall@1_std': 0.1831, 'recall@10_std': 0.455, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2805, 'ranking_score_dcg_std': 0.204, 'perc_partially_accurate_predictions_std': 18.31, 'total_samples': 806, 'avg_topk': 21.0397}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
