filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1624,advanced_random,dorothea_500_4000,,,,,0.001,251.557,0.002,0.002,0.0,0.004,0.009,0.04,0.079,0.148,,,
baseline_advanced_random_1016_1644,advanced_random,dorothea_500_4000,,,,,0.001,251.557,0.002,0.002,0.0,0.004,0.009,0.04,0.079,0.148,,,
baseline_jordan_1016_1624,jordan,dorothea_500_4000,,,,,0.003,248.235,0.002,0.002,0.001,0.004,0.011,0.043,0.092,0.181,,,
baseline_jordan_1016_1644,jordan,dorothea_500_4000,,,,,0.003,248.235,0.002,0.002,0.001,0.004,0.011,0.043,0.092,0.181,,,
baseline_overlap_1016_1624,overlap,dorothea_500_4000,,,,,0.003,247.122,0.002,0.002,0.002,0.002,0.006,0.038,0.076,0.172,,,
baseline_overlap_1016_1644,overlap,dorothea_500_4000,,,,,0.003,247.122,0.002,0.002,0.002,0.002,0.006,0.038,0.076,0.172,,,
baseline_random_1016_1624,random,dorothea_500_4000,,,,,0.001,251.557,0.002,0.002,0.0,0.004,0.009,0.04,0.079,0.148,,,
baseline_random_1016_1644,random,dorothea_500_4000,,,,,0.001,251.557,0.002,0.002,0.0,0.004,0.009,0.04,0.079,0.148,,,
baseline_smallestSuperset_1016_1624,smallestSuperset,dorothea_500_4000,,,,,0.003,247.122,0.002,0.002,0.002,0.002,0.006,0.038,0.076,0.172,,,
baseline_smallestSuperset_1016_1644,smallestSuperset,dorothea_500_4000,,,,,0.003,247.122,0.002,0.002,0.002,0.002,0.006,0.038,0.076,0.172,,,
gat_1016_1645,gat,dorothea_500_4000,500.0,354.0,1.0,0.292,0.01,71.041,0.067,0.019,0.0,0.11,0.041,0.157,0.311,0.599,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 1037, 'times_true_source': 3, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.03, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 85.333, 'avg_prob_when_true': 0.066, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 1037, 'times_true_source': 4, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.03, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 50.75, 'avg_prob_when_true': 0.071, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 1037, 'times_true_source': 5, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.003, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 76.6, 'avg_prob_when_true': 0.066, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 3, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 1037, 'times_true_source': 6, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.053, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 48.5, 'avg_prob_when_true': 0.075, 'in_top20_when_true': 2, 'in_top40_when_true': 2, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
gat_1016_1647,gat,dorothea_500_4000,500.0,354.0,1.0,0.292,0.01,71.041,0.067,0.019,0.0,0.11,0.041,0.157,0.311,0.599,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 1037, 'times_true_source': 3, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.03, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 85.333, 'avg_prob_when_true': 0.066, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 1037, 'times_true_source': 4, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.03, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 50.75, 'avg_prob_when_true': 0.071, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 1037, 'times_true_source': 5, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.003, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 76.6, 'avg_prob_when_true': 0.066, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 3, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 1037, 'times_true_source': 6, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.053, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 48.5, 'avg_prob_when_true': 0.075, 'in_top20_when_true': 2, 'in_top40_when_true': 2, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
