filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1520,advanced_random,dorothea_500_4000,,,,,0.001,177.992,0.003,0.002,0.0,0.006,0.012,0.054,0.106,0.21,,,
baseline_advanced_random_1016_1622,advanced_random,dorothea_500_4000,,,,,0.001,177.992,0.003,0.002,0.0,0.006,0.012,0.054,0.106,0.21,,,
baseline_advanced_random_1016_1642,advanced_random,dorothea_500_4000,,,,,0.001,177.992,0.003,0.002,0.0,0.006,0.012,0.054,0.106,0.21,,,
baseline_jordan_1016_1520,jordan,dorothea_500_4000,,,,,0.126,52.599,0.032,0.002,0.0,1.0,0.226,0.5,0.683,0.765,,,
baseline_jordan_1016_1622,jordan,dorothea_500_4000,,,,,0.133,53.203,0.032,0.002,0.0,1.0,0.243,0.517,0.683,0.771,,,
baseline_jordan_1016_1642,jordan,dorothea_500_4000,,,,,0.133,53.203,0.032,0.002,0.0,1.0,0.243,0.517,0.683,0.771,,,
baseline_overlap_1016_1520,overlap,dorothea_500_4000,,,,,0.033,157.857,0.003,0.002,0.0,0.053,0.041,0.093,0.152,0.276,,,
baseline_overlap_1016_1622,overlap,dorothea_500_4000,,,,,0.033,157.657,0.003,0.002,0.0,0.07,0.041,0.093,0.152,0.276,,,
baseline_overlap_1016_1642,overlap,dorothea_500_4000,,,,,0.033,157.657,0.003,0.002,0.0,0.07,0.041,0.093,0.152,0.276,,,
baseline_random_1016_1520,random,dorothea_500_4000,,,,,0.001,251.557,0.002,0.002,0.0,0.004,0.009,0.04,0.079,0.148,,,
baseline_random_1016_1622,random,dorothea_500_4000,,,,,0.001,251.557,0.002,0.002,0.0,0.004,0.009,0.04,0.079,0.148,,,
baseline_random_1016_1642,random,dorothea_500_4000,,,,,0.001,251.557,0.002,0.002,0.0,0.004,0.009,0.04,0.079,0.148,,,
baseline_smallestSuperset_1016_1520,smallestSuperset,dorothea_500_4000,,,,,0.033,158.248,0.032,0.002,0.0,1.0,0.041,0.093,0.152,0.276,,,
baseline_smallestSuperset_1016_1622,smallestSuperset,dorothea_500_4000,,,,,0.033,158.248,0.032,0.002,0.0,1.0,0.041,0.093,0.152,0.276,,,
baseline_smallestSuperset_1016_1642,smallestSuperset,dorothea_500_4000,,,,,0.033,158.248,0.032,0.002,0.0,1.0,0.041,0.093,0.152,0.276,,,
gat_1016_1642,gat,dorothea_500_4000,500.0,354.0,1.0,0.292,0.154,58.291,0.095,0.017,0.0,0.496,0.198,0.334,0.466,0.678,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 1037, 'times_true_source': 3, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.023, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 43.0, 'avg_prob_when_true': 0.074, 'in_top20_when_true': 0, 'in_top40_when_true': 2, 'in_top80_when_true': 3, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 1037, 'times_true_source': 4, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.028, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 43.5, 'avg_prob_when_true': 0.068, 'in_top20_when_true': 1, 'in_top40_when_true': 3, 'in_top80_when_true': 3, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 1037, 'times_true_source': 5, 'times_predicted_source': 1, 'correct_predictions': 1, 'avg_prediction_prob': 0.004, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 11.8, 'avg_prob_when_true': 0.115, 'in_top20_when_true': 4, 'in_top40_when_true': 5, 'in_top80_when_true': 5, 'accuracy_when_true': 0.2, 'precision': 1.0, 'recall': 0.2, 'f1_score': 0.333}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 1037, 'times_true_source': 6, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.054, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 58.167, 'avg_prob_when_true': 0.069, 'in_top20_when_true': 0, 'in_top40_when_true': 3, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
