experiment,file,file_path,network,model_type,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,recall@1,recall@10,recall@100,recall@1000,ranking_score,ranking_score_dcg,perc_partially_accurate_predictions,recall@1_std,recall@10_std,recall@100_std,recall@1000_std,ranking_score_std,ranking_score_dcg_std,perc_partially_accurate_predictions_std,total_samples,avg_topk
exp_39_fr_si_rd,pdgrapher_1016_1642.json,reports/exp_39_fr_si_rd/pdgrapher_1016_1642.json,dorothea_39,pdgrapher,0.171,4.699,0.488,-0.998,-3.61,1.898,0.576,0.993,1.0,1.0,0.0372,0.2816,1.0,1.0,0.5436,0.194,3.72,0.1893,0.4498,0.0,0.0,0.2937,0.2151,18.93,806,21.201
exp_39_si_rd,pdgrapher_1016_1618.json,reports/exp_39_si_rd/pdgrapher_1016_1618.json,dorothea_39,pdgrapher,0.032,24.181,-0.241,0.03,-1.503,2.741,0.097,0.304,1.0,1.0,0.0323,0.2444,1.0,1.0,0.5109,0.1689,3.23,0.1767,0.4297,0.0,0.0,0.2801,0.1956,17.67,806,19.9268
exp_39_si_rd,pdgrapher_1016_1643.json,reports/exp_39_si_rd/pdgrapher_1016_1643.json,dorothea_39,pdgrapher,0.115,9.738,0.465,-0.425,-2.776,2.414,0.535,0.777,1.0,1.0,0.0347,0.2928,1.0,1.0,0.5395,0.1855,3.47,0.1831,0.455,0.0,0.0,0.2805,0.204,18.31,806,21.0397
exp_500_1000_fr_si_rd,pdgrapher_1016_1623.json,reports/exp_500_1000_fr_si_rd/pdgrapher_1016_1623.json,dorothea_500_1000,pdgrapher,0.089,52.203,0.559,-1.803,-7.256,2.933,0.206,0.362,0.507,0.757,0.0079,0.0343,0.2497,1.0,0.5449,0.0968,0.79,0.0887,0.1821,0.4328,0.0,0.2938,0.1144,8.87,757,272.428
exp_500_1000_fr_si_rd,pdgrapher_1016_1649.json,reports/exp_500_1000_fr_si_rd/pdgrapher_1016_1649.json,dorothea_500_1000,pdgrapher,0.001,71.177,0.15,-2.306,-8.691,6.26,0.005,0.124,0.316,0.645,0.0,0.0185,0.2946,1.0,0.5556,0.0916,0.0,0.0,0.1347,0.4559,0.0,0.2953,0.0795,0.0,757,277.7807
exp_500_1000_rd_si,pdgrapher_1016_1628.json,reports/exp_500_1000_rd_si/pdgrapher_1016_1628.json,dorothea_500_1000,pdgrapher,0.013,46.28,1.578,-0.501,-3.277,5.38,0.153,0.433,0.653,0.841,0.0,0.0264,0.3316,1.0,0.5768,0.1004,0.0,0.0,0.1604,0.4708,0.0,0.3068,0.0877,0.0,757,288.4069
exp_500_1000_rd_si,pdgrapher_1016_1643.json,reports/exp_500_1000_rd_si/pdgrapher_1016_1643.json,dorothea_500_1000,pdgrapher,0.015,208.354,0.38,0.195,-4.693,2.053,0.036,0.096,0.143,0.209,0.0013,0.0132,0.1704,1.0,0.4783,0.0745,0.13,0.0363,0.1142,0.376,0.0,0.2805,0.075,3.63,757,239.1413
exp_500_4000_fr_si,pdgrapher_1016_1628.json,reports/exp_500_4000_fr_si/pdgrapher_1016_1628.json,dorothea_500_4000,pdgrapher,0.023,55.694,1.278,-0.89,-6.395,4.641,0.079,0.266,0.459,0.75,0.0048,0.026,0.2488,1.0,0.5233,0.0887,0.48,0.0693,0.1592,0.4323,0.0,0.2971,0.0998,6.93,1037,261.6258
exp_500_4000_fr_si,pdgrapher_1016_1702.json,reports/exp_500_4000_fr_si/pdgrapher_1016_1702.json,dorothea_500_4000,pdgrapher,0.029,72.123,0.807,-1.173,-6.209,2.64,0.096,0.298,0.48,0.676,0.001,0.0174,0.2112,1.0,0.4954,0.0792,0.1,0.031,0.1306,0.4082,0.0,0.2985,0.078,3.1,1037,247.6885
exp_500_4000_si,pdgrapher_1016_1623.json,reports/exp_500_4000_si/pdgrapher_1016_1623.json,dorothea_500_4000,pdgrapher,0.009,58.546,1.38,-0.678,-4.015,3.494,0.053,0.221,0.433,0.725,0.0039,0.0347,0.2488,1.0,0.5328,0.0924,0.39,0.062,0.1831,0.4323,0.0,0.2927,0.103,6.2,1037,266.4204
