filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1117_0814,advanced_random,dorothea_500_1000,,,,,0.004,138.641,0.277,0.004,0.002,0.0,0.008,0.019,0.074,0.15,0.292,,,
baseline_advanced_random_1117_1044,advanced_random,dorothea_500_1000,,,,,0.004,138.641,0.277,0.004,0.002,0.0,0.008,0.019,0.074,0.15,0.292,,,
baseline_advanced_random_1117_1114,advanced_random,dorothea_500_1000,,,,,0.004,138.641,0.277,0.004,0.002,0.0,0.008,0.019,0.074,0.15,0.292,,,
baseline_advanced_random_1117_1148,advanced_random,dorothea_500_1000,,,,,0.004,138.641,0.277,0.004,0.002,0.0,0.008,0.019,0.074,0.15,0.292,,,
baseline_advanced_random_1117_1300,advanced_random,dorothea_500_1000,,,,,0.004,138.641,0.277,0.004,0.002,0.0,0.008,0.019,0.074,0.15,0.292,,,
baseline_overlap_1117_0814,overlap,dorothea_500_1000,,,,,0.105,63.188,0.126,0.048,0.002,0.0,0.664,0.342,0.396,0.475,0.618,,,
baseline_overlap_1117_1044,overlap,dorothea_500_1000,,,,,0.105,63.188,0.126,0.048,0.002,0.0,0.664,0.342,0.396,0.475,0.618,,,
baseline_overlap_1117_1114,overlap,dorothea_500_1000,,,,,0.105,63.188,0.126,0.048,0.002,0.0,0.664,0.342,0.396,0.475,0.618,,,
baseline_overlap_1117_1148,overlap,dorothea_500_1000,,,,,0.105,63.188,0.126,0.048,0.002,0.0,0.664,0.342,0.396,0.475,0.618,,,
baseline_overlap_1117_1300,overlap,dorothea_500_1000,,,,,0.105,63.188,0.126,0.048,0.002,0.0,0.664,0.342,0.396,0.475,0.618,,,
baseline_random_1117_0814,random,dorothea_500_1000,,,,,0.002,248.82,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.083,0.166,,,
baseline_random_1117_1044,random,dorothea_500_1000,,,,,0.002,248.82,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.083,0.166,,,
baseline_random_1117_1114,random,dorothea_500_1000,,,,,0.002,248.82,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.083,0.166,,,
baseline_random_1117_1148,random,dorothea_500_1000,,,,,0.002,248.82,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.083,0.166,,,
baseline_random_1117_1300,random,dorothea_500_1000,,,,,0.002,248.82,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.083,0.166,,,
baseline_smallestSuperset_1117_0814,smallestSuperset,dorothea_500_1000,,,,,0.122,146.565,0.293,0.121,0.002,0.0,1.0,0.138,0.204,0.3,0.467,,,
baseline_smallestSuperset_1117_1044,smallestSuperset,dorothea_500_1000,,,,,0.122,146.565,0.293,0.121,0.002,0.0,1.0,0.138,0.204,0.3,0.467,,,
baseline_smallestSuperset_1117_1114,smallestSuperset,dorothea_500_1000,,,,,0.122,146.565,0.293,0.121,0.002,0.0,1.0,0.138,0.204,0.3,0.467,,,
baseline_smallestSuperset_1117_1148,smallestSuperset,dorothea_500_1000,,,,,0.122,146.565,0.293,0.121,0.002,0.0,1.0,0.138,0.204,0.3,0.467,,,
baseline_smallestSuperset_1117_1300,smallestSuperset,dorothea_500_1000,,,,,0.122,146.565,0.293,0.121,0.002,0.0,1.0,0.138,0.204,0.3,0.467,,,
