filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1115_1432,advanced_random,dorothea_500_1000,,,,,0.002,146.529,0.293,0.004,0.002,0.0,0.009,0.018,0.072,0.145,0.294,,,
baseline_advanced_random_1115_1922,advanced_random,dorothea_500_1000,,,,,0.002,146.529,0.293,0.004,0.002,0.0,0.009,0.018,0.072,0.145,0.294,,,
baseline_advanced_random_1116_1708,advanced_random,dorothea_500_1000,,,,,0.002,146.529,0.293,0.004,0.002,0.0,0.009,0.018,0.072,0.145,0.294,,,
baseline_advanced_random_1116_2151,advanced_random,dorothea_500_1000,,,,,0.002,146.529,0.293,0.004,0.002,0.0,0.009,0.018,0.072,0.145,0.294,,,
baseline_advanced_random_1116_2245,advanced_random,dorothea_500_1000,,,,,0.002,146.529,0.293,0.004,0.002,0.0,0.009,0.018,0.072,0.145,0.294,,,
baseline_overlap_1115_1432,overlap,dorothea_500_1000,,,,,0.004,151.075,0.302,0.004,0.002,0.0,0.008,0.024,0.088,0.162,0.295,,,
baseline_overlap_1115_1922,overlap,dorothea_500_1000,,,,,0.004,151.075,0.302,0.004,0.002,0.0,0.008,0.024,0.088,0.162,0.295,,,
baseline_overlap_1116_1708,overlap,dorothea_500_1000,,,,,0.004,151.075,0.302,0.004,0.002,0.0,0.008,0.024,0.088,0.162,0.295,,,
baseline_overlap_1116_2151,overlap,dorothea_500_1000,,,,,0.004,151.075,0.302,0.004,0.002,0.0,0.008,0.024,0.088,0.162,0.295,,,
baseline_overlap_1116_2245,overlap,dorothea_500_1000,,,,,0.004,151.075,0.302,0.004,0.002,0.0,0.008,0.024,0.088,0.162,0.295,,,
baseline_random_1115_1432,random,dorothea_500_1000,,,,,0.002,248.61,0.497,0.002,0.002,0.0,0.004,0.011,0.04,0.081,0.16,,,
baseline_random_1115_1922,random,dorothea_500_1000,,,,,0.002,248.61,0.497,0.002,0.002,0.0,0.004,0.011,0.04,0.081,0.16,,,
baseline_random_1116_1708,random,dorothea_500_1000,,,,,0.002,248.61,0.497,0.002,0.002,0.0,0.004,0.011,0.04,0.081,0.16,,,
baseline_random_1116_2151,random,dorothea_500_1000,,,,,0.002,248.61,0.497,0.002,0.002,0.0,0.004,0.011,0.04,0.081,0.16,,,
baseline_random_1116_2245,random,dorothea_500_1000,,,,,0.002,248.61,0.497,0.002,0.002,0.0,0.004,0.011,0.04,0.081,0.16,,,
baseline_smallestSuperset_1115_1432,smallestSuperset,dorothea_500_1000,,,,,0.003,257.198,0.514,0.002,0.002,0.002,0.002,0.014,0.041,0.087,0.149,,,
baseline_smallestSuperset_1115_1922,smallestSuperset,dorothea_500_1000,,,,,0.003,257.198,0.514,0.002,0.002,0.002,0.002,0.014,0.041,0.087,0.149,,,
baseline_smallestSuperset_1116_1708,smallestSuperset,dorothea_500_1000,,,,,0.003,257.198,0.514,0.002,0.002,0.002,0.002,0.014,0.041,0.087,0.149,,,
baseline_smallestSuperset_1116_2151,smallestSuperset,dorothea_500_1000,,,,,0.003,257.198,0.514,0.002,0.002,0.002,0.002,0.014,0.041,0.087,0.149,,,
baseline_smallestSuperset_1116_2245,smallestSuperset,dorothea_500_1000,,,,,0.003,257.198,0.514,0.002,0.002,0.002,0.002,0.014,0.041,0.087,0.149,,,
