filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1115_1428,advanced_random,dorothea_500_1000,,,,,0.0,257.732,0.515,0.0,0.002,0.0,1.0,0.003,0.038,0.083,0.152,,,
baseline_advanced_random_1115_1919,advanced_random,dorothea_500_1000,,,,,0.0,257.732,0.515,0.0,0.002,0.0,1.0,0.003,0.038,0.083,0.152,,,
baseline_advanced_random_1116_1704,advanced_random,dorothea_500_1000,,,,,0.0,257.732,0.515,0.0,0.002,0.0,1.0,0.003,0.038,0.083,0.152,,,
baseline_advanced_random_1116_2148,advanced_random,dorothea_500_1000,,,,,0.0,257.732,0.515,0.0,0.002,0.0,1.0,0.003,0.038,0.083,0.152,,,
baseline_advanced_random_1116_2243,advanced_random,dorothea_500_1000,,,,,0.0,257.732,0.515,0.0,0.002,0.0,1.0,0.003,0.038,0.083,0.152,,,
baseline_overlap_1115_1428,overlap,dorothea_500_1000,,,,,0.0,255.513,0.511,0.001,0.002,0.0,0.313,0.006,0.029,0.072,0.141,,,
baseline_overlap_1115_1919,overlap,dorothea_500_1000,,,,,0.0,255.513,0.511,0.001,0.002,0.0,0.313,0.006,0.029,0.072,0.141,,,
baseline_overlap_1116_1704,overlap,dorothea_500_1000,,,,,0.0,255.513,0.511,0.001,0.002,0.0,0.313,0.006,0.029,0.072,0.141,,,
baseline_overlap_1116_2148,overlap,dorothea_500_1000,,,,,0.0,255.513,0.511,0.001,0.002,0.0,0.313,0.006,0.029,0.072,0.141,,,
baseline_overlap_1116_2243,overlap,dorothea_500_1000,,,,,0.0,255.513,0.511,0.001,0.002,0.0,0.313,0.006,0.029,0.072,0.141,,,
baseline_random_1115_1428,random,dorothea_500_1000,,,,,0.002,248.61,0.497,0.002,0.002,0.0,0.004,0.011,0.04,0.081,0.16,,,
baseline_random_1115_1919,random,dorothea_500_1000,,,,,0.002,248.61,0.497,0.002,0.002,0.0,0.004,0.011,0.04,0.081,0.16,,,
baseline_random_1116_1704,random,dorothea_500_1000,,,,,0.002,248.61,0.497,0.002,0.002,0.0,0.004,0.011,0.04,0.081,0.16,,,
baseline_random_1116_2148,random,dorothea_500_1000,,,,,0.002,248.61,0.497,0.002,0.002,0.0,0.004,0.011,0.04,0.081,0.16,,,
baseline_random_1116_2243,random,dorothea_500_1000,,,,,0.002,248.61,0.497,0.002,0.002,0.0,0.004,0.011,0.04,0.081,0.16,,,
baseline_smallestSuperset_1115_1428,smallestSuperset,dorothea_500_1000,,,,,0.0,257.732,0.515,0.0,0.002,0.0,0.5,0.003,0.038,0.083,0.152,,,
