filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0927_2024,advanced_random,dorothea_500_1250,,,,,0.004,252.483,0.002,0.002,0.0,0.004,0.007,0.014,
baseline_advanced_random_0929_0049,advanced_random,dorothea_500_1250,,,,,0.004,252.483,0.002,0.002,0.0,0.004,0.007,0.014,
baseline_jordan_0927_2024,jordan,dorothea_500_1250,,,,,0.0,296.265,0.001,0.002,0.0,1.0,0.0,0.0,
baseline_jordan_0929_0049,jordan,dorothea_500_1250,,,,,0.0,296.265,0.001,0.002,0.0,1.0,0.0,0.0,
baseline_overlap_0927_2024,overlap,dorothea_500_1250,,,,,0.0,243.662,0.002,0.002,0.002,0.002,0.023,0.023,
baseline_overlap_0929_0049,overlap,dorothea_500_1250,,,,,0.0,243.662,0.002,0.002,0.002,0.002,0.023,0.023,
baseline_random_0927_2024,random,dorothea_500_1250,,,,,0.004,252.483,0.002,0.002,0.0,0.004,0.007,0.014,
baseline_random_0929_0049,random,dorothea_500_1250,,,,,0.004,252.483,0.002,0.002,0.0,0.004,0.007,0.014,
baseline_smallestSuperset_0927_2024,smallestSuperset,dorothea_500_1250,,,,,0.0,243.662,0.002,0.002,0.002,0.002,0.023,0.023,
baseline_smallestSuperset_0929_0049,smallestSuperset,dorothea_500_1250,,,,,0.0,243.662,0.002,0.002,0.002,0.002,0.023,0.023,
gat_0927_2029,gat,dorothea_500_1250,500.0,263.0,1.0,0.487,0.019,88.926,0.053,0.02,0.0,0.152,0.055,0.082,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 193, 'total_samples': 3002, 'times_true_source': 0, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.057, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 25, 'total_samples': 3002, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 413, 'total_samples': 3002, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 262, 'total_samples': 3002, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.004, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}}"
