filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0927_1947,advanced_random,dorothea_500_2000,,,,,0.0,252.591,0.002,0.002,0.0,0.004,0.003,0.006,
baseline_advanced_random_0929_0013,advanced_random,dorothea_500_2000,,,,,0.0,252.591,0.002,0.002,0.0,0.004,0.003,0.006,
baseline_jordan_0927_1947,jordan,dorothea_500_2000,,,,,0.0,276.884,0.002,0.002,0.0,1.0,0.003,0.003,
baseline_jordan_0929_0013,jordan,dorothea_500_2000,,,,,0.0,276.884,0.002,0.002,0.0,1.0,0.003,0.003,
baseline_overlap_0927_1947,overlap,dorothea_500_2000,,,,,0.0,271.796,0.002,0.002,0.002,0.002,0.0,0.0,
baseline_overlap_0929_0013,overlap,dorothea_500_2000,,,,,0.0,271.796,0.002,0.002,0.002,0.002,0.0,0.0,
baseline_random_0927_1947,random,dorothea_500_2000,,,,,0.0,252.591,0.002,0.002,0.0,0.004,0.003,0.006,
baseline_random_0929_0013,random,dorothea_500_2000,,,,,0.0,252.591,0.002,0.002,0.0,0.004,0.003,0.006,
baseline_smallestSuperset_0927_1947,smallestSuperset,dorothea_500_2000,,,,,0.0,271.796,0.002,0.002,0.002,0.002,0.0,0.0,
baseline_smallestSuperset_0929_0013,smallestSuperset,dorothea_500_2000,,,,,0.0,271.796,0.002,0.002,0.002,0.002,0.0,0.0,
gat_0927_2223,gat,dorothea_500_2000,500.0,292.0,1.0,0.678,0.0,190.626,0.021,0.019,0.008,0.04,0.0,0.0,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 193, 'total_samples': 318, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 25, 'total_samples': 318, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 413, 'total_samples': 318, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 262, 'total_samples': 318, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}}"
