filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0923_0103,advanced_random,dorothea_500_900,,,,,0.002,242.66,0.002,0.002,0.0,0.012,0.006,0.011,
baseline_advanced_random_0925_1718,advanced_random,dorothea_500_900,,,,,0.002,242.66,0.002,0.002,0.0,0.012,0.006,0.011,
baseline_advanced_random_0926_1529,advanced_random,dorothea_500_900,,,,,0.002,242.66,0.002,0.002,0.0,0.012,0.006,0.011,
baseline_advanced_random_0927_1956,advanced_random,dorothea_500_900,,,,,0.002,242.66,0.002,0.002,0.0,0.012,0.006,0.011,
baseline_advanced_random_0929_0021,advanced_random,dorothea_500_900,,,,,0.002,242.66,0.002,0.002,0.0,0.012,0.006,0.011,
baseline_jordan_0923_0103,jordan,dorothea_500_900,,,,,0.001,264.996,0.001,0.002,0.0,1.0,0.008,0.012,
baseline_jordan_0925_1718,jordan,dorothea_500_900,,,,,0.001,264.996,0.001,0.002,0.0,1.0,0.008,0.012,
baseline_jordan_0926_1529,jordan,dorothea_500_900,,,,,0.001,264.996,0.001,0.002,0.0,1.0,0.008,0.012,
baseline_jordan_0927_1956,jordan,dorothea_500_900,,,,,0.001,264.996,0.001,0.002,0.0,1.0,0.008,0.012,
baseline_jordan_0929_0021,jordan,dorothea_500_900,,,,,0.001,264.996,0.001,0.002,0.0,1.0,0.008,0.012,
baseline_overlap_0923_0103,overlap,dorothea_500_900,,,,,0.0,261.785,0.002,0.002,0.0,1.0,0.007,0.015,
baseline_overlap_0925_1718,overlap,dorothea_500_900,,,,,0.0,261.785,0.002,0.002,0.0,1.0,0.007,0.015,
baseline_overlap_0926_1529,overlap,dorothea_500_900,,,,,0.0,261.785,0.002,0.002,0.0,1.0,0.007,0.015,
baseline_overlap_0927_1956,overlap,dorothea_500_900,,,,,0.0,261.785,0.002,0.002,0.0,1.0,0.007,0.015,
baseline_overlap_0929_0021,overlap,dorothea_500_900,,,,,0.0,261.785,0.002,0.002,0.0,1.0,0.007,0.015,
baseline_random_0923_0103,random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_random_0925_1718,random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_random_0926_1529,random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_random_0927_1956,random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_random_0929_0021,random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_smallestSuperset_0923_0103,smallestSuperset,dorothea_500_900,,,,,0.0,264.152,0.002,0.002,0.0,1.0,0.01,0.014,
baseline_smallestSuperset_0925_1718,smallestSuperset,dorothea_500_900,,,,,0.0,264.152,0.002,0.002,0.0,1.0,0.01,0.014,
baseline_smallestSuperset_0926_1529,smallestSuperset,dorothea_500_900,,,,,0.0,264.152,0.002,0.002,0.0,1.0,0.01,0.014,
baseline_smallestSuperset_0927_1956,smallestSuperset,dorothea_500_900,,,,,0.0,264.152,0.002,0.002,0.0,1.0,0.01,0.014,
baseline_smallestSuperset_0929_0021,smallestSuperset,dorothea_500_900,,,,,0.0,264.152,0.002,0.002,0.0,1.0,0.01,0.014,
gat_0923_0124,gat,dorothea_500_900,500.0,200.0,1.0,0.518,0.006,217.76,0.02,0.019,0.013,0.048,0.015,0.022,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 4524, 'times_true_source': 15, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.015, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 477.333, 'avg_prob_when_true': 0.015, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 4524, 'times_true_source': 18, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.024, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 38.0, 'avg_prob_when_true': 0.024, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 4524, 'times_true_source': 39, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 369.897, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
gat_0923_1004,gat,dorothea_500_900,500.0,200.0,1.0,0.518,0.006,216.336,0.02,0.019,0.012,0.047,0.015,0.023,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 4524, 'times_true_source': 15, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.014, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 478.333, 'avg_prob_when_true': 0.014, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 4524, 'times_true_source': 18, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.025, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 23.278, 'avg_prob_when_true': 0.026, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 4524, 'times_true_source': 39, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 393.231, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
gat_0925_1925,gat,dorothea_500_900,500.0,200.0,1.0,0.518,0.006,217.344,0.02,0.02,0.013,0.052,0.015,0.022,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 4524, 'times_true_source': 15, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.015, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 475.667, 'avg_prob_when_true': 0.015, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 4524, 'times_true_source': 18, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.025, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 41.722, 'avg_prob_when_true': 0.025, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 4524, 'times_true_source': 39, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 369.923, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
