filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics,run
baseline_advanced_random_0919_1954,advanced_random,dorothea_500_1000,,,,,0.002,248.518,0.002,0.002,0.0,0.011,0.005,0.009,,bs_500_1000
baseline_jordan_0919_1954,jordan,dorothea_500_1000,,,,,0.001,262.949,0.002,0.002,0.0,1.0,0.008,0.01,,bs_500_1000
baseline_overlap_0919_1954,overlap,dorothea_500_1000,,,,,0.007,259.719,0.003,0.002,0.0,1.0,0.015,0.018,,bs_500_1000
baseline_random_0919_1954,random,dorothea_500_1000,,,,,0.002,250.344,0.002,0.002,0.0,0.004,0.005,0.009,,bs_500_1000
baseline_smallestSuperset_0919_1954,smallestSuperset,dorothea_500_1000,,,,,0.0,257.462,0.002,0.002,0.0,1.0,0.01,0.016,,bs_500_1000
gat_0919_2035,gat,dorothea_500_1000,500.0,202.0,1.0,0.524,0.007,232.006,0.02,0.02,0.008,0.043,0.015,0.021,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 7919, 'times_true_source': 38, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 61.158, 'avg_prob_when_true': 0.023, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 7919, 'times_true_source': 39, 'times_predicted_source': 20, 'correct_predictions': 1, 'avg_prediction_prob': 0.025, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 21.282, 'avg_prob_when_true': 0.026, 'in_top3_when_true': 2, 'in_top5_when_true': 5, 'accuracy_when_true': 0.026, 'precision': 0.05, 'recall': 0.026, 'f1_score': 0.034}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 7919, 'times_true_source': 37, 'times_predicted_source': 747, 'correct_predictions': 17, 'avg_prediction_prob': 0.021, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 58.432, 'avg_prob_when_true': 0.026, 'in_top3_when_true': 19, 'in_top5_when_true': 20, 'accuracy_when_true': 0.459, 'precision': 0.023, 'recall': 0.459, 'f1_score': 0.043}}",bs_500_1000
pdgrapher_0919_2020,pdgrapher,dorothea_500_1000,500.0,202.0,1.0,0.524,0.024,82.889,0.368,-0.552,-2.879,7.124,0.061,0.096,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 7919, 'times_true_source': 38, 'times_predicted_source': 45, 'correct_predictions': 1, 'avg_prediction_prob': 0.271, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 48.421, 'avg_prob_when_true': 0.527, 'in_top3_when_true': 2, 'in_top5_when_true': 3, 'accuracy_when_true': 0.026, 'precision': 0.022, 'recall': 0.026, 'f1_score': 0.024}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 7919, 'times_true_source': 39, 'times_predicted_source': 7, 'correct_predictions': 1, 'avg_prediction_prob': 0.238, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 70.282, 'avg_prob_when_true': 0.299, 'in_top3_when_true': 1, 'in_top5_when_true': 1, 'accuracy_when_true': 0.026, 'precision': 0.143, 'recall': 0.026, 'f1_score': 0.043}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 7919, 'times_true_source': 37, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': -0.22, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 93.243, 'avg_prob_when_true': 0.219, 'in_top3_when_true': 3, 'in_top5_when_true': 3, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",bs_500_1000
baseline_advanced_random_0919_2123,advanced_random,dorothea_500_1000,,,,,0.002,250.344,0.002,0.002,0.0,0.004,0.005,0.009,,bs_500_1000_fr
baseline_jordan_0919_2123,jordan,dorothea_500_1000,,,,,0.0,255.797,0.002,0.002,0.0,1.0,0.001,0.002,,bs_500_1000_fr
baseline_overlap_0919_2123,overlap,dorothea_500_1000,,,,,0.0,258.417,0.002,0.002,0.002,0.002,0.01,0.016,,bs_500_1000_fr
