filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,avg norm rank of source,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1020_0906,advanced_random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_advanced_random_1021_0053,advanced_random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_advanced_random_1022_1607,advanced_random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_advanced_random_1022_1719,advanced_random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_advanced_random_1025_2103,advanced_random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_advanced_random_1026_1619,advanced_random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_advanced_random_1027_0209,advanced_random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_advanced_random_1027_1123,advanced_random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_advanced_random_1027_1418,advanced_random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_advanced_random_1028_2354,advanced_random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,0.494,,,
baseline_jordan_1020_0906,jordan,dorothea_100_500,,,,,0.011,49.746,0.01,0.01,0.004,0.021,0.046,0.203,0.395,0.79,,,,
baseline_jordan_1021_0053,jordan,dorothea_100_500,,,,,0.011,49.746,0.01,0.01,0.004,0.021,0.046,0.203,0.395,0.79,,,,
baseline_jordan_1022_1607,jordan,dorothea_100_500,,,,,0.011,49.746,0.01,0.01,0.004,0.021,0.046,0.203,0.395,0.79,,,,
baseline_jordan_1022_1719,jordan,dorothea_100_500,,,,,0.011,49.746,0.01,0.01,0.004,0.021,0.046,0.203,0.395,0.79,,,,
baseline_jordan_1025_2103,jordan,dorothea_100_500,,,,,0.011,49.746,0.01,0.01,0.004,0.021,0.046,0.203,0.395,0.79,,,,
baseline_jordan_1026_1619,jordan,dorothea_100_500,,,,,0.011,49.746,0.01,0.01,0.004,0.021,0.046,0.203,0.395,0.79,,,,
baseline_jordan_1027_0209,jordan,dorothea_100_500,,,,,0.011,49.746,0.01,0.01,0.004,0.021,0.046,0.203,0.395,0.79,,,,
