filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1020_0851,advanced_random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,
baseline_advanced_random_1021_0044,advanced_random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,
baseline_jordan_1020_0851,jordan,dorothea_100_500,,,,,0.011,49.625,0.01,0.01,0.0,0.5,0.049,0.201,0.393,0.799,,,
baseline_jordan_1021_0044,jordan,dorothea_100_500,,,,,0.011,49.625,0.01,0.01,0.0,0.5,0.049,0.201,0.393,0.799,,,
baseline_overlap_1020_0851,overlap,dorothea_100_500,,,,,0.011,49.625,0.01,0.01,0.0,0.5,0.049,0.201,0.393,0.799,,,
baseline_overlap_1021_0044,overlap,dorothea_100_500,,,,,0.011,49.625,0.01,0.01,0.0,0.5,0.049,0.201,0.393,0.799,,,
baseline_random_1020_0851,random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,
baseline_random_1021_0044,random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,
baseline_smallestSuperset_1020_0851,smallestSuperset,dorothea_100_500,,,,,0.01,49.46,0.01,0.01,0.01,0.01,0.054,0.201,0.396,0.786,,,
baseline_smallestSuperset_1021_0044,smallestSuperset,dorothea_100_500,,,,,0.01,49.46,0.01,0.01,0.01,0.01,0.054,0.201,0.396,0.786,,,
gat_1020_0942,gat,dorothea_100_500,100.0,89.0,1.0,0.854,0.013,47.871,0.093,0.092,0.089,0.103,0.052,0.228,0.418,0.81,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20951, 'times_true_source': 253, 'times_predicted_source': 8, 'correct_predictions': 0, 'avg_prediction_prob': 0.096, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 12.64, 'avg_prob_when_true': 0.096, 'in_top20_when_true': 226, 'in_top40_when_true': 253, 'in_top80_when_true': 253, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20951, 'times_true_source': 201, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.096, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 37.07, 'avg_prob_when_true': 0.096, 'in_top20_when_true': 8, 'in_top40_when_true': 110, 'in_top80_when_true': 201, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20951, 'times_true_source': 247, 'times_predicted_source': 24, 'correct_predictions': 0, 'avg_prediction_prob': 0.096, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 28.024, 'avg_prob_when_true': 0.096, 'in_top20_when_true': 11, 'in_top40_when_true': 233, 'in_top80_when_true': 247, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
gat_1021_0219,gat,dorothea_100_500,100.0,89.0,1.0,0.854,0.013,47.644,0.093,0.092,0.087,0.104,0.054,0.226,0.423,0.817,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20951, 'times_true_source': 253, 'times_predicted_source': 2, 'correct_predictions': 0, 'avg_prediction_prob': 0.098, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 13.3, 'avg_prob_when_true': 0.098, 'in_top20_when_true': 230, 'in_top40_when_true': 247, 'in_top80_when_true': 253, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20951, 'times_true_source': 201, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.098, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 35.781, 'avg_prob_when_true': 0.098, 'in_top20_when_true': 9, 'in_top40_when_true': 131, 'in_top80_when_true': 201, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20951, 'times_true_source': 247, 'times_predicted_source': 24, 'correct_predictions': 0, 'avg_prediction_prob': 0.098, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 29.498, 'avg_prob_when_true': 0.098, 'in_top20_when_true': 9, 'in_top40_when_true': 219, 'in_top80_when_true': 247, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
pdgrapher_1020_1006,pdgrapher,dorothea_100_500,100.0,89.0,1.0,0.854,0.084,38.418,-1.104,-2.454,-129.466,13.163,0.202,0.357,0.526,0.883,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20951, 'times_true_source': 253, 'times_predicted_source': 205, 'correct_predictions': 13, 'avg_prediction_prob': -2.624, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 54.083, 'avg_prob_when_true': -2.115, 'in_top20_when_true': 30, 'in_top40_when_true': 43, 'in_top80_when_true': 238, 'accuracy_when_true': 0.051, 'precision': 0.063, 'recall': 0.051, 'f1_score': 0.057}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20951, 'times_true_source': 201, 'times_predicted_source': 211, 'correct_predictions': 14, 'avg_prediction_prob': -1.061, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 22.199, 'avg_prob_when_true': -0.133, 'in_top20_when_true': 81, 'in_top40_when_true': 161, 'in_top80_when_true': 201, 'accuracy_when_true': 0.07, 'precision': 0.066, 'recall': 0.07, 'f1_score': 0.068}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20951, 'times_true_source': 247, 'times_predicted_source': 115, 'correct_predictions': 12, 'avg_prediction_prob': -1.353, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 27.097, 'avg_prob_when_true': -0.339, 'in_top20_when_true': 154, 'in_top40_when_true': 159, 'in_top80_when_true': 243, 'accuracy_when_true': 0.049, 'precision': 0.104, 'recall': 0.049, 'f1_score': 0.066}}","{'recall@1': 0.011, 'recall@10': 0.1089, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5143, 'ranking_score_dcg': 0.1284, 'perc_partially_accurate_predictions': 1.1, 'recall@1_std': 0.1044, 'recall@10_std': 0.3115, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2921, 'ranking_score_dcg_std': 0.1427, 'perc_partially_accurate_predictions_std': 10.44, 'total_samples': 20951, 'avg_topk': 51.4262}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
