filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1030_1439,advanced_random,dorothea_500_1000,,,,,0.002,248.827,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.08,0.162,,,
baseline_jordan_1030_1439,jordan,dorothea_500_1000,,,,,0.0,247.918,0.496,0.002,0.002,0.0,1.0,0.004,0.037,0.091,0.162,,,
baseline_overlap_1030_1439,overlap,dorothea_500_1000,,,,,0.004,255.601,0.511,0.002,0.002,0.002,0.002,0.014,0.042,0.087,0.155,,,
baseline_random_1030_1439,random,dorothea_500_1000,,,,,0.002,248.827,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.08,0.162,,,
baseline_smallestSuperset_1030_1439,smallestSuperset,dorothea_500_1000,,,,,0.004,255.601,0.511,0.002,0.002,0.002,0.002,0.014,0.042,0.087,0.155,,,
gat_1020_1646,gat,dorothea_500_1000,500.0,279.0,1.0,0.496,0.004,238.377,,0.019,0.019,0.011,0.047,0.011,0.054,0.097,0.184,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20088, 'times_true_source': 0, 'times_predicted_source': 5, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20088, 'times_true_source': 74, 'times_predicted_source': 123, 'correct_predictions': 2, 'avg_prediction_prob': 0.021, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 56.892, 'avg_prob_when_true': 0.023, 'in_top20_when_true': 14, 'in_top40_when_true': 19, 'in_top80_when_true': 55, 'accuracy_when_true': 0.027, 'precision': 0.016, 'recall': 0.027, 'f1_score': 0.02}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20088, 'times_true_source': 84, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.015, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 486.214, 'avg_prob_when_true': 0.015, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20088, 'times_true_source': 81, 'times_predicted_source': 11, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 243.21, 'avg_prob_when_true': 0.019, 'in_top20_when_true': 5, 'in_top40_when_true': 5, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
gat_1021_0223,gat,dorothea_500_1000,500.0,279.0,1.0,0.496,0.004,238.514,,0.019,0.019,0.011,0.053,0.013,0.051,0.091,0.183,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20088, 'times_true_source': 0, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20088, 'times_true_source': 74, 'times_predicted_source': 126, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 53.284, 'avg_prob_when_true': 0.024, 'in_top20_when_true': 14, 'in_top40_when_true': 20, 'in_top80_when_true': 59, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20088, 'times_true_source': 84, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.015, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 488.298, 'avg_prob_when_true': 0.014, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20088, 'times_true_source': 81, 'times_predicted_source': 14, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 248.667, 'avg_prob_when_true': 0.019, 'in_top20_when_true': 5, 'in_top40_when_true': 5, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
gat_1028_1604,gat,dorothea_500_1000,500.0,279.0,1.0,0.496,0.004,238.051,0.476,0.019,0.019,0.01,0.047,0.012,0.053,0.096,0.184,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20088, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20088, 'times_true_source': 74, 'times_predicted_source': 124, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 48.824, 'avg_prob_when_true': 0.023, 'in_top20_when_true': 19, 'in_top40_when_true': 22, 'in_top80_when_true': 65, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20088, 'times_true_source': 84, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.014, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 488.869, 'avg_prob_when_true': 0.014, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20088, 'times_true_source': 81, 'times_predicted_source': 10, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 251.691, 'avg_prob_when_true': 0.018, 'in_top20_when_true': 5, 'in_top40_when_true': 5, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
gat_1029_0032,gat,dorothea_500_1000,500.0,279.0,1.0,0.496,0.004,238.697,0.477,0.019,0.019,0.01,0.046,0.012,0.054,0.097,0.181,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20088, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20088, 'times_true_source': 74, 'times_predicted_source': 102, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 50.838, 'avg_prob_when_true': 0.023, 'in_top20_when_true': 14, 'in_top40_when_true': 20, 'in_top80_when_true': 62, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20088, 'times_true_source': 84, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.015, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 486.595, 'avg_prob_when_true': 0.015, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20088, 'times_true_source': 81, 'times_predicted_source': 10, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 252.395, 'avg_prob_when_true': 0.019, 'in_top20_when_true': 5, 'in_top40_when_true': 5, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
gat_1029_1535,gat,dorothea_500_1000,500.0,279.0,1.0,0.496,0.004,238.547,0.477,0.019,0.019,0.011,0.046,0.014,0.051,0.095,0.181,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20088, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20088, 'times_true_source': 74, 'times_predicted_source': 127, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 49.932, 'avg_prob_when_true': 0.023, 'in_top20_when_true': 19, 'in_top40_when_true': 20, 'in_top80_when_true': 65, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20088, 'times_true_source': 84, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.015, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 488.964, 'avg_prob_when_true': 0.015, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20088, 'times_true_source': 81, 'times_predicted_source': 10, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 254.123, 'avg_prob_when_true': 0.019, 'in_top20_when_true': 5, 'in_top40_when_true': 5, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
