filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1029_1526,advanced_random,dorothea_500_1000,,,,,0.004,145.802,0.292,0.004,0.002,0.0,0.009,0.018,0.071,0.143,0.288,,,
baseline_jordan_1029_1526,jordan,dorothea_500_1000,,,,,0.015,248.506,0.497,0.013,0.002,0.0,1.0,0.038,0.063,0.105,0.179,,,
baseline_overlap_1029_1526,overlap,dorothea_500_1000,,,,,0.012,112.537,0.225,0.028,0.002,0.0,0.997,0.163,0.258,0.33,0.469,,,
baseline_random_1029_1526,random,dorothea_500_1000,,,,,0.002,248.827,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.08,0.162,,,
baseline_smallestSuperset_1029_1526,smallestSuperset,dorothea_500_1000,,,,,0.019,247.187,0.494,0.019,0.002,0.0,1.0,0.033,0.058,0.114,0.184,,,
gat_1029_1529,gat,dorothea_500_1000,500.0,279.0,1.0,0.496,0.005,184.654,0.369,0.023,0.019,0.004,0.041,0.021,0.073,0.141,0.294,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20088, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.009, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20088, 'times_true_source': 74, 'times_predicted_source': 335, 'correct_predictions': 2, 'avg_prediction_prob': 0.034, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 46.986, 'avg_prob_when_true': 0.035, 'in_top20_when_true': 17, 'in_top40_when_true': 31, 'in_top80_when_true': 64, 'accuracy_when_true': 0.027, 'precision': 0.006, 'recall': 0.027, 'f1_score': 0.01}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20088, 'times_true_source': 84, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.014, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 327.94, 'avg_prob_when_true': 0.014, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20088, 'times_true_source': 81, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 251.889, 'avg_prob_when_true': 0.017, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
gat_1029_2059,gat,dorothea_500_1000,500.0,279.0,1.0,0.496,0.004,185.196,0.37,0.024,0.02,0.004,0.041,0.02,0.075,0.144,0.291,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20088, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.009, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20088, 'times_true_source': 74, 'times_predicted_source': 221, 'correct_predictions': 0, 'avg_prediction_prob': 0.035, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 47.068, 'avg_prob_when_true': 0.036, 'in_top20_when_true': 17, 'in_top40_when_true': 31, 'in_top80_when_true': 64, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20088, 'times_true_source': 84, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.014, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 318.417, 'avg_prob_when_true': 0.014, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20088, 'times_true_source': 81, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 248.321, 'avg_prob_when_true': 0.018, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
pdgrapher_1029_1914,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.496,0.084,144.394,0.289,-1.753,-4.14,-123.692,18.019,0.21,0.356,0.418,0.491,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20088, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -4.933, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20088, 'times_true_source': 74, 'times_predicted_source': 302, 'correct_predictions': 14, 'avg_prediction_prob': -3.274, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 70.622, 'avg_prob_when_true': 1.508, 'in_top20_when_true': 50, 'in_top40_when_true': 51, 'in_top80_when_true': 54, 'accuracy_when_true': 0.189, 'precision': 0.046, 'recall': 0.189, 'f1_score': 0.074}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20088, 'times_true_source': 84, 'times_predicted_source': 462, 'correct_predictions': 12, 'avg_prediction_prob': -2.824, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 103.238, 'avg_prob_when_true': 0.273, 'in_top20_when_true': 44, 'in_top40_when_true': 50, 'in_top80_when_true': 53, 'accuracy_when_true': 0.143, 'precision': 0.026, 'recall': 0.143, 'f1_score': 0.044}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20088, 'times_true_source': 81, 'times_predicted_source': 31, 'correct_predictions': 0, 'avg_prediction_prob': -3.3, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 38.481, 'avg_prob_when_true': -1.656, 'in_top20_when_true': 39, 'in_top40_when_true': 59, 'in_top80_when_true': 71, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0038, 'recall@10': 0.0338, 'recall@100': 0.2323, 'recall@1000': 1.0, 'ranking_score': 0.5302, 'ranking_score_dcg': 0.0899, 'perc_partially_accurate_predictions': 0.38, 'recall@1_std': 0.0618, 'recall@10_std': 0.1807, 'recall@100_std': 0.4223, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2876, 'ranking_score_dcg_std': 0.0977, 'perc_partially_accurate_predictions_std': 6.18, 'total_samples': 20088, 'avg_topk': 265.0829}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1029_2252,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.496,0.089,138.939,0.278,-2.306,-4.887,-47.414,11.493,0.209,0.336,0.41,0.502,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20088, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -5.66, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20088, 'times_true_source': 74, 'times_predicted_source': 173, 'correct_predictions': 29, 'avg_prediction_prob': -4.753, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 30.027, 'avg_prob_when_true': 1.479, 'in_top20_when_true': 48, 'in_top40_when_true': 51, 'in_top80_when_true': 63, 'accuracy_when_true': 0.392, 'precision': 0.168, 'recall': 0.392, 'f1_score': 0.235}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20088, 'times_true_source': 84, 'times_predicted_source': 707, 'correct_predictions': 20, 'avg_prediction_prob': -3.115, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 57.952, 'avg_prob_when_true': 0.891, 'in_top20_when_true': 49, 'in_top40_when_true': 50, 'in_top80_when_true': 66, 'accuracy_when_true': 0.238, 'precision': 0.028, 'recall': 0.238, 'f1_score': 0.051}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20088, 'times_true_source': 81, 'times_predicted_source': 72, 'correct_predictions': 19, 'avg_prediction_prob': -4.387, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 97.753, 'avg_prob_when_true': -0.613, 'in_top20_when_true': 42, 'in_top40_when_true': 45, 'in_top80_when_true': 49, 'accuracy_when_true': 0.235, 'precision': 0.264, 'recall': 0.235, 'f1_score': 0.248}}","{'recall@1': 0.0041, 'recall@10': 0.0332, 'recall@100': 0.2442, 'recall@1000': 1.0, 'ranking_score': 0.5321, 'ranking_score_dcg': 0.0911, 'perc_partially_accurate_predictions': 0.41, 'recall@1_std': 0.0641, 'recall@10_std': 0.179, 'recall@100_std': 0.4296, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2936, 'ranking_score_dcg_std': 0.0995, 'perc_partially_accurate_predictions_std': 6.41, 'total_samples': 20088, 'avg_topk': 266.0521}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgraphernognn_1029_1540,pdgraphernognn,dorothea_500_1000,500.0,279.0,1.0,0.496,0.013,139.256,0.279,-4.239,-12.149,-696.196,15.064,0.056,0.2,0.336,0.474,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20088, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -132.636, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20088, 'times_true_source': 74, 'times_predicted_source': 6, 'correct_predictions': 0, 'avg_prediction_prob': -5.251, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 96.27, 'avg_prob_when_true': -1.134, 'in_top20_when_true': 9, 'in_top40_when_true': 37, 'in_top80_when_true': 57, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20088, 'times_true_source': 84, 'times_predicted_source': 13, 'correct_predictions': 0, 'avg_prediction_prob': -5.261, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 97.0, 'avg_prob_when_true': -1.626, 'in_top20_when_true': 34, 'in_top40_when_true': 48, 'in_top80_when_true': 55, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20088, 'times_true_source': 81, 'times_predicted_source': 118, 'correct_predictions': 2, 'avg_prediction_prob': -8.012, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 191.0, 'avg_prob_when_true': -5.255, 'in_top20_when_true': 10, 'in_top40_when_true': 10, 'in_top80_when_true': 15, 'accuracy_when_true': 0.025, 'precision': 0.017, 'recall': 0.025, 'f1_score': 0.02}}","{'recall@1': 0.003, 'recall@10': 0.0349, 'recall@100': 0.325, 'recall@1000': 1.0, 'ranking_score': 0.6203, 'ranking_score_dcg': 0.1067, 'perc_partially_accurate_predictions': 0.3, 'recall@1_std': 0.055, 'recall@10_std': 0.1835, 'recall@100_std': 0.4684, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2637, 'ranking_score_dcg_std': 0.0935, 'perc_partially_accurate_predictions_std': 5.5, 'total_samples': 20088, 'avg_topk': 310.1497}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
