filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1029_1027,advanced_random,dorothea_500_1000,,,,,0.002,248.827,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.08,0.162,,,
baseline_advanced_random_1029_1441,advanced_random,dorothea_500_1000,,,,,0.002,248.827,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.08,0.162,,,
baseline_jordan_1029_1027,jordan,dorothea_500_1000,,,,,0.001,260.544,0.521,0.001,0.002,0.0,1.0,0.004,0.028,0.07,0.146,,,
baseline_jordan_1029_1441,jordan,dorothea_500_1000,,,,,0.001,260.544,0.521,0.001,0.002,0.0,1.0,0.004,0.028,0.07,0.146,,,
baseline_overlap_1029_1027,overlap,dorothea_500_1000,,,,,0.001,260.544,0.521,0.001,0.002,0.0,1.0,0.004,0.028,0.07,0.146,,,
baseline_overlap_1029_1441,overlap,dorothea_500_1000,,,,,0.001,260.544,0.521,0.001,0.002,0.0,1.0,0.004,0.028,0.07,0.146,,,
baseline_random_1029_1027,random,dorothea_500_1000,,,,,0.002,248.827,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.08,0.162,,,
baseline_random_1029_1441,random,dorothea_500_1000,,,,,0.002,248.827,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.08,0.162,,,
baseline_smallestSuperset_1029_1027,smallestSuperset,dorothea_500_1000,,,,,0.004,255.337,0.511,0.002,0.002,0.0,1.0,0.014,0.042,0.091,0.158,,,
baseline_smallestSuperset_1029_1441,smallestSuperset,dorothea_500_1000,,,,,0.004,255.337,0.511,0.002,0.002,0.0,1.0,0.014,0.042,0.091,0.158,,,
