filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1018_1452,advanced_random,dorothea_500_1000,,,,,0.003,138.94,0.004,0.002,0.0,0.008,0.015,0.071,0.142,0.287,,,
baseline_advanced_random_1018_1858,advanced_random,dorothea_500_1000,,,,,0.003,138.94,0.004,0.002,0.0,0.008,0.015,0.071,0.142,0.287,,,
baseline_advanced_random_1018_2259,advanced_random,dorothea_500_1000,,,,,0.003,138.94,0.004,0.002,0.0,0.008,0.015,0.071,0.142,0.287,,,
baseline_advanced_random_1019_0132,advanced_random,dorothea_500_1000,,,,,0.003,138.94,0.004,0.002,0.0,0.008,0.015,0.071,0.142,0.287,,,
baseline_jordan_1018_1452,jordan,dorothea_500_1000,,,,,0.435,24.624,0.356,0.002,0.0,1.0,0.552,0.698,0.779,0.885,,,
baseline_jordan_1018_1858,jordan,dorothea_500_1000,,,,,0.435,24.624,0.356,0.002,0.0,1.0,0.552,0.698,0.779,0.885,,,
baseline_jordan_1018_2259,jordan,dorothea_500_1000,,,,,0.435,24.624,0.356,0.002,0.0,1.0,0.552,0.698,0.779,0.885,,,
baseline_jordan_1019_0132,jordan,dorothea_500_1000,,,,,0.435,24.624,0.356,0.002,0.0,1.0,0.552,0.698,0.779,0.885,,,
baseline_overlap_1018_1452,overlap,dorothea_500_1000,,,,,0.391,37.819,0.005,0.002,0.0,0.475,0.412,0.484,0.582,0.784,,,
baseline_overlap_1018_1858,overlap,dorothea_500_1000,,,,,0.391,37.819,0.005,0.002,0.0,0.475,0.412,0.484,0.582,0.784,,,
baseline_overlap_1018_2259,overlap,dorothea_500_1000,,,,,0.391,37.819,0.005,0.002,0.0,0.475,0.412,0.484,0.582,0.784,,,
baseline_overlap_1019_0132,overlap,dorothea_500_1000,,,,,0.391,37.819,0.005,0.002,0.0,0.475,0.412,0.484,0.582,0.784,,,
baseline_random_1018_1452,random,dorothea_500_1000,,,,,0.001,249.391,0.002,0.002,0.0,0.004,0.009,0.037,0.08,0.159,,,
baseline_random_1018_1858,random,dorothea_500_1000,,,,,0.001,249.391,0.002,0.002,0.0,0.004,0.009,0.037,0.08,0.159,,,
baseline_random_1018_2259,random,dorothea_500_1000,,,,,0.001,249.391,0.002,0.002,0.0,0.004,0.009,0.037,0.08,0.159,,,
baseline_random_1019_0132,random,dorothea_500_1000,,,,,0.001,249.391,0.002,0.002,0.0,0.004,0.009,0.037,0.08,0.159,,,
baseline_smallestSuperset_1018_1452,smallestSuperset,dorothea_500_1000,,,,,0.395,37.986,0.395,0.002,0.0,1.0,0.414,0.486,0.585,0.779,,,
baseline_smallestSuperset_1018_1858,smallestSuperset,dorothea_500_1000,,,,,0.395,37.986,0.395,0.002,0.0,1.0,0.414,0.486,0.585,0.779,,,
baseline_smallestSuperset_1018_2259,smallestSuperset,dorothea_500_1000,,,,,0.395,37.986,0.395,0.002,0.0,1.0,0.414,0.486,0.585,0.779,,,
baseline_smallestSuperset_1019_0132,smallestSuperset,dorothea_500_1000,,,,,0.395,37.986,0.395,0.002,0.0,1.0,0.414,0.486,0.585,0.779,,,
