filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics
baseline_advanced_random_1003_1053,advanced_random,dorothea_500_1000,,,,,0.002,249.361,0.002,0.002,0.0,0.004,0.006,0.01,,,,
baseline_advanced_random_1006_1157,advanced_random,dorothea_500_1000,,,,,0.002,249.361,0.002,0.002,0.0,0.004,0.006,0.01,,,,
baseline_advanced_random_1006_1412,advanced_random,dorothea_500_1000,,,,,0.002,249.361,0.002,0.002,0.0,0.004,0.006,0.01,,,,
baseline_advanced_random_1006_1418,advanced_random,dorothea_500_1000,,,,,0.002,249.361,0.002,0.002,0.0,0.004,0.006,0.01,,,,
baseline_advanced_random_1006_1430,advanced_random,dorothea_500_1000,,,,,0.002,249.361,0.002,0.002,0.0,0.004,0.006,0.01,,,,
baseline_advanced_random_1007_2355,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,0.005,0.008,,,,
baseline_advanced_random_1009_0046,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_advanced_random_1009_1001,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_advanced_random_1009_1059,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_advanced_random_1009_1132,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,0.008,0.043,0.085,0.164,
baseline_advanced_random_1009_1250,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,0.008,0.043,0.085,0.164,
baseline_jordan_1003_1053,jordan,dorothea_500_1000,,,,,0.0,258.333,0.001,0.002,0.0,1.0,0.002,0.004,,,,
baseline_jordan_1006_1157,jordan,dorothea_500_1000,,,,,0.0,258.333,0.001,0.002,0.0,1.0,0.002,0.004,,,,
baseline_jordan_1006_1412,jordan,dorothea_500_1000,,,,,0.0,258.333,0.001,0.002,0.0,1.0,0.002,0.004,,,,
baseline_jordan_1006_1418,jordan,dorothea_500_1000,,,,,0.0,258.333,0.001,0.002,0.0,1.0,0.002,0.004,,,,
baseline_jordan_1006_1430,jordan,dorothea_500_1000,,,,,0.0,258.333,0.001,0.002,0.0,1.0,0.002,0.004,,,,
baseline_jordan_1007_2355,jordan,dorothea_500_1000,,,,,0.005,268.667,0.002,0.002,0.0,1.0,0.01,0.01,,,,
baseline_jordan_1009_0046,jordan,dorothea_500_1000,,,,,0.005,268.667,0.002,0.002,0.0,1.0,,,0.024,0.061,0.12,
baseline_jordan_1009_1001,jordan,dorothea_500_1000,,,,,0.005,268.667,0.002,0.002,0.0,1.0,,,0.024,0.061,0.12,
baseline_jordan_1009_1059,jordan,dorothea_500_1000,,,,,0.005,268.667,0.002,0.002,0.0,1.0,,,0.024,0.061,0.12,
baseline_jordan_1009_1132,jordan,dorothea_500_1000,,,,,0.005,268.667,0.002,0.002,0.0,1.0,,0.01,0.024,0.061,0.12,
baseline_jordan_1009_1250,jordan,dorothea_500_1000,,,,,0.005,268.667,0.002,0.002,0.0,1.0,,0.01,0.024,0.061,0.12,
baseline_overlap_1003_1053,overlap,dorothea_500_1000,,,,,0.0,258.333,0.001,0.002,0.0,1.0,0.002,0.004,,,,
baseline_overlap_1006_1157,overlap,dorothea_500_1000,,,,,0.0,258.333,0.001,0.002,0.0,1.0,0.002,0.004,,,,
baseline_overlap_1006_1412,overlap,dorothea_500_1000,,,,,0.0,258.333,0.001,0.002,0.0,1.0,0.002,0.004,,,,
baseline_overlap_1006_1418,overlap,dorothea_500_1000,,,,,0.0,258.333,0.001,0.002,0.0,1.0,0.002,0.004,,,,
baseline_overlap_1006_1430,overlap,dorothea_500_1000,,,,,0.0,258.333,0.001,0.002,0.0,1.0,0.002,0.004,,,,
baseline_overlap_1007_2355,overlap,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,0.008,0.012,,,,
baseline_overlap_1009_0046,overlap,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,,,0.045,0.09,0.168,
baseline_overlap_1009_1001,overlap,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,,,0.045,0.09,0.168,
baseline_overlap_1009_1059,overlap,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,,,0.045,0.09,0.168,
