filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics
baseline_advanced_random_1007_2352,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,0.005,0.008,,,,
baseline_advanced_random_1009_0047,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_advanced_random_1009_1000,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_advanced_random_1009_1125,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,0.008,0.043,0.085,0.164,
baseline_advanced_random_1009_1248,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,0.008,0.043,0.085,0.164,
baseline_jordan_1007_2352,jordan,dorothea_500_1000,,,,,0.0,242.086,0.002,0.002,0.0,1.0,0.013,0.017,,,,
baseline_jordan_1009_0047,jordan,dorothea_500_1000,,,,,0.0,242.086,0.002,0.002,0.0,1.0,,,0.042,0.098,0.179,
baseline_jordan_1009_1000,jordan,dorothea_500_1000,,,,,0.0,242.086,0.002,0.002,0.0,1.0,,,0.042,0.098,0.179,
baseline_jordan_1009_1125,jordan,dorothea_500_1000,,,,,0.0,242.086,0.002,0.002,0.0,1.0,,0.017,0.042,0.098,0.179,
baseline_jordan_1009_1248,jordan,dorothea_500_1000,,,,,0.0,242.086,0.002,0.002,0.0,1.0,,0.017,0.042,0.098,0.179,
baseline_overlap_1007_2352,overlap,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,0.008,0.012,,,,
baseline_overlap_1009_0047,overlap,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,,,0.045,0.09,0.168,
baseline_overlap_1009_1000,overlap,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,,,0.045,0.09,0.168,
baseline_overlap_1009_1125,overlap,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,,0.012,0.045,0.09,0.168,
baseline_overlap_1009_1248,overlap,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,,0.012,0.045,0.09,0.168,
baseline_random_1007_2352,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,0.005,0.008,,,,
baseline_random_1009_0047,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_random_1009_1000,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_random_1009_1125,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,0.008,0.043,0.085,0.164,
baseline_random_1009_1248,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,0.008,0.043,0.085,0.164,
baseline_smallestSuperset_1007_2352,smallestSuperset,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,0.008,0.012,,,,
baseline_smallestSuperset_1009_0047,smallestSuperset,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,,,0.045,0.09,0.168,
baseline_smallestSuperset_1009_1000,smallestSuperset,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,,,0.045,0.09,0.168,
baseline_smallestSuperset_1009_1125,smallestSuperset,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,,0.012,0.045,0.09,0.168,
baseline_smallestSuperset_1009_1248,smallestSuperset,dorothea_500_1000,,,,,0.004,251.685,0.002,0.002,0.002,0.002,,0.012,0.045,0.09,0.168,
