filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics
baseline_advanced_random_1007_2314,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,0.005,0.008,,,,
baseline_advanced_random_1009_0010,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_advanced_random_1009_0923,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_advanced_random_1009_1013,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_advanced_random_1009_1053,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,0.008,0.043,0.085,0.164,
baseline_advanced_random_1009_1215,advanced_random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,0.008,0.043,0.085,0.164,
baseline_jordan_1007_2314,jordan,dorothea_500_1000,,,,,0.001,257.868,0.001,0.002,0.0,1.0,0.001,0.002,,,,
baseline_jordan_1009_0010,jordan,dorothea_500_1000,,,,,0.001,257.868,0.001,0.002,0.0,1.0,,,0.029,0.074,0.161,
baseline_jordan_1009_0923,jordan,dorothea_500_1000,,,,,0.001,257.868,0.001,0.002,0.0,1.0,,,0.029,0.074,0.161,
baseline_jordan_1009_1013,jordan,dorothea_500_1000,,,,,0.001,257.868,0.001,0.002,0.0,1.0,,,0.029,0.074,0.161,
baseline_jordan_1009_1053,jordan,dorothea_500_1000,,,,,0.001,257.868,0.001,0.002,0.0,1.0,,0.002,0.029,0.074,0.161,
baseline_jordan_1009_1215,jordan,dorothea_500_1000,,,,,0.001,257.868,0.001,0.002,0.0,1.0,,0.002,0.029,0.074,0.161,
baseline_overlap_1007_2314,overlap,dorothea_500_1000,,,,,0.001,257.868,0.001,0.002,0.0,1.0,0.001,0.002,,,,
baseline_overlap_1009_0010,overlap,dorothea_500_1000,,,,,0.001,257.868,0.001,0.002,0.0,1.0,,,0.029,0.074,0.161,
baseline_overlap_1009_0923,overlap,dorothea_500_1000,,,,,0.001,257.868,0.001,0.002,0.0,1.0,,,0.029,0.074,0.161,
baseline_overlap_1009_1013,overlap,dorothea_500_1000,,,,,0.001,257.868,0.001,0.002,0.0,1.0,,,0.029,0.074,0.161,
baseline_overlap_1009_1053,overlap,dorothea_500_1000,,,,,0.001,257.868,0.001,0.002,0.0,1.0,,0.002,0.029,0.074,0.161,
baseline_overlap_1009_1215,overlap,dorothea_500_1000,,,,,0.001,257.868,0.001,0.002,0.0,1.0,,0.002,0.029,0.074,0.161,
baseline_random_1007_2314,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,0.005,0.008,,,,
baseline_random_1009_0010,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_random_1009_0923,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_random_1009_1013,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_random_1009_1053,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,0.008,0.043,0.085,0.164,
baseline_random_1009_1215,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,0.008,0.043,0.085,0.164,
baseline_smallestSuperset_1007_2314,smallestSuperset,dorothea_500_1000,,,,,0.004,251.383,0.002,0.002,0.0,1.0,0.008,0.012,,,,
baseline_smallestSuperset_1009_0010,smallestSuperset,dorothea_500_1000,,,,,0.004,251.383,0.002,0.002,0.0,1.0,,,0.045,0.093,0.172,
baseline_smallestSuperset_1009_0923,smallestSuperset,dorothea_500_1000,,,,,0.004,251.383,0.002,0.002,0.0,1.0,,,0.045,0.093,0.172,
baseline_smallestSuperset_1009_1013,smallestSuperset,dorothea_500_1000,,,,,0.004,251.383,0.002,0.002,0.0,1.0,,,0.045,0.093,0.172,
baseline_smallestSuperset_1009_1053,smallestSuperset,dorothea_500_1000,,,,,0.004,251.383,0.002,0.002,0.0,1.0,,0.012,0.045,0.093,0.172,
baseline_smallestSuperset_1009_1215,smallestSuperset,dorothea_500_1000,,,,,0.004,251.383,0.002,0.002,0.0,1.0,,0.012,0.045,0.093,0.172,
