filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 20,source in top 40,source in top 80,source in top 5,gene_specific_metrics
baseline_advanced_random_1008_1725,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_advanced_random_1009_0105,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_advanced_random_1009_1107,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_advanced_random_1009_1148,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,0.014,
baseline_advanced_random_1009_1323,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,0.014,
baseline_jordan_1008_1725,jordan,dorothea_500_800,,,,,0.0,241.694,0.002,0.002,0.0,1.0,0.038,0.103,0.178,,
baseline_jordan_1009_0105,jordan,dorothea_500_800,,,,,0.0,241.694,0.002,0.002,0.0,1.0,0.038,0.103,0.178,,
baseline_jordan_1009_1107,jordan,dorothea_500_800,,,,,0.0,241.694,0.002,0.002,0.0,1.0,0.038,0.103,0.178,,
baseline_jordan_1009_1148,jordan,dorothea_500_800,,,,,0.0,241.694,0.002,0.002,0.0,1.0,0.038,0.103,0.178,0.006,
baseline_jordan_1009_1323,jordan,dorothea_500_800,,,,,0.0,241.694,0.002,0.002,0.0,1.0,0.038,0.103,0.178,0.006,
baseline_overlap_1008_1725,overlap,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,,
baseline_overlap_1009_0105,overlap,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,,
baseline_overlap_1009_1107,overlap,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,,
baseline_overlap_1009_1148,overlap,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,0.018,
baseline_overlap_1009_1323,overlap,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,0.018,
baseline_random_1008_1725,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_0105,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_1107,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_1148,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,0.014,
