filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 20,source in top 40,source in top 80,source in top 5,gene_specific_metrics
baseline_advanced_random_1008_1620,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_advanced_random_1009_0010,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_advanced_random_1009_0923,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_advanced_random_1009_1013,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_advanced_random_1009_1053,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,0.014,
baseline_advanced_random_1009_1215,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,0.014,
baseline_jordan_1008_1620,jordan,dorothea_500_800,,,,,0.002,252.843,0.001,0.002,0.0,1.0,0.038,0.077,0.16,,
baseline_jordan_1009_0010,jordan,dorothea_500_800,,,,,0.002,252.843,0.001,0.002,0.0,1.0,0.038,0.077,0.16,,
baseline_jordan_1009_0923,jordan,dorothea_500_800,,,,,0.002,252.843,0.001,0.002,0.0,1.0,0.038,0.077,0.16,,
baseline_jordan_1009_1013,jordan,dorothea_500_800,,,,,0.002,252.843,0.001,0.002,0.0,1.0,0.038,0.077,0.16,,
baseline_jordan_1009_1053,jordan,dorothea_500_800,,,,,0.002,252.843,0.001,0.002,0.0,1.0,0.038,0.077,0.16,0.01,
baseline_jordan_1009_1215,jordan,dorothea_500_800,,,,,0.002,252.843,0.001,0.002,0.0,1.0,0.038,0.077,0.16,0.01,
baseline_overlap_1008_1620,overlap,dorothea_500_800,,,,,0.002,252.843,0.001,0.002,0.0,1.0,0.038,0.077,0.16,,
baseline_overlap_1009_0010,overlap,dorothea_500_800,,,,,0.002,252.843,0.001,0.002,0.0,1.0,0.038,0.077,0.16,,
baseline_overlap_1009_0923,overlap,dorothea_500_800,,,,,0.002,252.843,0.001,0.002,0.0,1.0,0.038,0.077,0.16,,
baseline_overlap_1009_1013,overlap,dorothea_500_800,,,,,0.002,252.843,0.001,0.002,0.0,1.0,0.038,0.077,0.16,,
baseline_overlap_1009_1053,overlap,dorothea_500_800,,,,,0.002,252.843,0.001,0.002,0.0,1.0,0.038,0.077,0.16,0.01,
baseline_overlap_1009_1215,overlap,dorothea_500_800,,,,,0.002,252.843,0.001,0.002,0.0,1.0,0.038,0.077,0.16,0.01,
baseline_random_1008_1620,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_0010,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_0923,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_1013,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_1053,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,0.014,
baseline_random_1009_1215,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,0.014,
baseline_smallestSuperset_1008_1620,smallestSuperset,dorothea_500_800,,,,,0.007,251.279,0.002,0.002,0.0,1.0,0.04,0.09,0.161,,
baseline_smallestSuperset_1009_0010,smallestSuperset,dorothea_500_800,,,,,0.007,251.279,0.002,0.002,0.0,1.0,0.04,0.09,0.161,,
baseline_smallestSuperset_1009_0923,smallestSuperset,dorothea_500_800,,,,,0.007,251.279,0.002,0.002,0.0,1.0,0.04,0.09,0.161,,
baseline_smallestSuperset_1009_1013,smallestSuperset,dorothea_500_800,,,,,0.007,251.279,0.002,0.002,0.0,1.0,0.04,0.09,0.161,,
baseline_smallestSuperset_1009_1053,smallestSuperset,dorothea_500_800,,,,,0.007,251.279,0.002,0.002,0.0,1.0,0.04,0.09,0.161,0.018,
baseline_smallestSuperset_1009_1215,smallestSuperset,dorothea_500_800,,,,,0.007,251.279,0.002,0.002,0.0,1.0,0.04,0.09,0.161,0.018,
gat_1008_1432,gat,dorothea_500_800,500.0,263.0,1.0,0.392,0.004,235.249,0.02,0.02,0.019,0.034,0.061,0.115,0.205,,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2104, 'times_true_source': 0, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2104, 'times_true_source': 7, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 105.714, 'avg_prob_when_true': 0.022, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2104, 'times_true_source': 15, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 206.267, 'avg_prob_when_true': 0.02, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2104, 'times_true_source': 9, 'times_predicted_source': 6, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 271.0, 'avg_prob_when_true': 0.02, 'in_top20_when_true': 2, 'in_top40_when_true': 2, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
gat_1009_0040,gat,dorothea_500_800,500.0,263.0,1.0,0.392,0.004,233.593,0.02,0.02,0.019,0.038,0.061,0.111,0.206,,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2104, 'times_true_source': 0, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2104, 'times_true_source': 7, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 122.286, 'avg_prob_when_true': 0.022, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2104, 'times_true_source': 15, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 214.267, 'avg_prob_when_true': 0.019, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2104, 'times_true_source': 9, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 231.889, 'avg_prob_when_true': 0.02, 'in_top20_when_true': 4, 'in_top40_when_true': 4, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
