filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0902_1617,advanced_random,dorothea_290,,,,,0.004,142.491,0.004,0.003,0.0,0.013,0.012,0.018,
baseline_advanced_random_0917_1212,advanced_random,dorothea_290,,,,,0.004,143.597,0.003,0.003,0.0,0.013,0.013,0.02,
baseline_jordan_0902_1617,jordan,dorothea_290,,,,,0.002,145.829,0.003,0.003,0.0,1.0,0.011,0.02,
baseline_jordan_0917_1212,jordan,dorothea_290,,,,,0.003,148.246,0.003,0.003,0.0,1.0,0.008,0.012,
baseline_overlap_0902_1617,overlap,dorothea_290,,,,,0.001,147.262,0.003,0.003,0.0,1.0,0.008,0.015,
baseline_overlap_0917_1212,overlap,dorothea_290,,,,,0.0,146.625,0.003,0.003,0.0,1.0,0.004,0.01,
baseline_random_0902_1617,random,dorothea_290,,,,,0.005,143.294,0.003,0.003,0.0,0.008,0.012,0.018,
baseline_random_0917_1212,random,dorothea_290,,,,,0.003,146.178,0.003,0.003,0.0,0.008,0.008,0.015,
baseline_smallestSuperset_0902_1617,smallestSuperset,dorothea_290,,,,,0.0,151.168,0.003,0.003,0.0,1.0,0.012,0.018,
baseline_smallestSuperset_0917_1212,smallestSuperset,dorothea_290,,,,,0.0,150.359,0.003,0.003,0.0,1.0,0.01,0.015,
gat_0902_1822,gat,dorothea_290,290.0,180.0,1.0,0.581,0.011,133.308,0.034,0.033,0.015,0.07,0.02,0.026,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 125, 'total_samples': 8550, 'times_true_source': 50, 'times_predicted_source': 16, 'correct_predictions': 0, 'avg_prediction_prob': 0.037, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 58.38, 'avg_prob_when_true': 0.037, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 246, 'total_samples': 8550, 'times_true_source': 50, 'times_predicted_source': 14, 'correct_predictions': 0, 'avg_prediction_prob': 0.038, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 32.64, 'avg_prob_when_true': 0.039, 'in_top3_when_true': 2, 'in_top5_when_true': 2, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 152, 'total_samples': 8550, 'times_true_source': 50, 'times_predicted_source': 195, 'correct_predictions': 0, 'avg_prediction_prob': 0.038, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 48.56, 'avg_prob_when_true': 0.037, 'in_top3_when_true': 0, 'in_top5_when_true': 3, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
