filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0902_1613,advanced_random,dorothea_290,,,,,0.002,141.858,0.004,0.003,0.0,0.008,0.014,0.023,
baseline_advanced_random_0917_1214,advanced_random,dorothea_290,,,,,0.004,143.068,0.003,0.003,0.0,0.008,0.011,0.014,
baseline_jordan_0902_1613,jordan,dorothea_290,,,,,0.0,152.895,0.003,0.003,0.0,1.0,0.003,0.007,
baseline_jordan_0917_1214,jordan,dorothea_290,,,,,0.0,157.719,0.003,0.003,0.0,1.0,0.004,0.01,
baseline_overlap_0902_1613,overlap,dorothea_290,,,,,0.0,155.438,0.003,0.003,0.003,0.003,0.013,0.019,
baseline_overlap_0917_1214,overlap,dorothea_290,,,,,0.0,155.337,0.003,0.003,0.003,0.003,0.006,0.012,
baseline_random_0902_1613,random,dorothea_290,,,,,0.002,141.858,0.004,0.003,0.0,0.008,0.014,0.023,
baseline_random_0917_1214,random,dorothea_290,,,,,0.004,143.068,0.003,0.003,0.0,0.008,0.011,0.014,
baseline_smallestSuperset_0902_1613,smallestSuperset,dorothea_290,,,,,0.0,155.438,0.003,0.003,0.003,0.003,0.013,0.019,
baseline_smallestSuperset_0917_1214,smallestSuperset,dorothea_290,,,,,0.0,155.337,0.003,0.003,0.003,0.003,0.006,0.012,
gat_0902_1824,gat,dorothea_290,290.0,180.0,1.0,0.591,0.006,133.109,0.033,0.033,0.025,0.071,0.023,0.032,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 125, 'total_samples': 2158, 'times_true_source': 13, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.032, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 139.385, 'avg_prob_when_true': 0.032, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 246, 'total_samples': 2158, 'times_true_source': 12, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.031, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 184.833, 'avg_prob_when_true': 0.031, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 152, 'total_samples': 2158, 'times_true_source': 14, 'times_predicted_source': 39, 'correct_predictions': 0, 'avg_prediction_prob': 0.036, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 54.786, 'avg_prob_when_true': 0.036, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
gat_0917_1020,gat,dorothea_290,290.0,180.0,1.0,0.579,0.007,141.687,0.033,0.033,0.021,0.052,0.014,0.018,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 125, 'total_samples': 834, 'times_true_source': 2, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.029, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 275.5, 'avg_prob_when_true': 0.029, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 246, 'total_samples': 834, 'times_true_source': 2, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.028, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 286.0, 'avg_prob_when_true': 0.027, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 152, 'total_samples': 834, 'times_true_source': 5, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.028, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 286.0, 'avg_prob_when_true': 0.027, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_0902_1823,pdgrapher,dorothea_290,290.0,180.0,1.0,0.591,0.017,86.253,0.204,0.008,-1.794,1.955,0.041,0.061,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 125, 'total_samples': 2158, 'times_true_source': 13, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': 0.075, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 84.692, 'avg_prob_when_true': 0.184, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 246, 'total_samples': 2158, 'times_true_source': 12, 'times_predicted_source': 6, 'correct_predictions': 0, 'avg_prediction_prob': 0.108, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 102.417, 'avg_prob_when_true': 0.114, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 152, 'total_samples': 2158, 'times_true_source': 14, 'times_predicted_source': 36, 'correct_predictions': 0, 'avg_prediction_prob': 0.254, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 48.643, 'avg_prob_when_true': 0.255, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
