filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0902_1602,advanced_random,dorothea_727_sparse,,,,,0.0,387.392,0.001,0.001,0.0,0.013,0.002,0.005,
baseline_advanced_random_0917_1544,advanced_random,dorothea_727_sparse,,,,,0.003,372.374,0.001,0.001,0.0,0.013,0.003,0.006,
baseline_jordan_0902_1602,jordan,dorothea_727_sparse,,,,,0.0,394.935,0.001,0.001,0.0,1.0,0.0,0.0,
baseline_jordan_0917_1544,jordan,dorothea_727_sparse,,,,,0.001,364.919,0.001,0.001,0.0,1.0,0.001,0.004,
baseline_overlap_0902_1602,overlap,dorothea_727_sparse,,,,,0.0,388.154,0.001,0.001,0.0,1.0,0.004,0.007,
baseline_overlap_0917_1544,overlap,dorothea_727_sparse,,,,,0.0,363.468,0.001,0.001,0.0,1.0,0.008,0.009,
baseline_random_0902_1602,random,dorothea_727_sparse,,,,,0.0,362.244,0.001,0.001,0.0,0.003,0.003,0.003,
baseline_random_0917_1544,random,dorothea_727_sparse,,,,,0.001,367.972,0.001,0.001,0.0,0.003,0.006,0.01,
baseline_smallestSuperset_0902_1602,smallestSuperset,dorothea_727_sparse,,,,,0.0,374.136,0.002,0.001,0.0,1.0,0.0,0.0,
baseline_smallestSuperset_0917_1544,smallestSuperset,dorothea_727_sparse,,,,,0.0,367.444,0.001,0.001,0.0,1.0,0.0,0.006,
gat_0902_1827,gat,dorothea_727_sparse,727.0,180.0,1.0,0.195,0.008,226.936,0.02,0.013,0.003,0.125,0.04,0.054,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 334, 'total_samples': 1025, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 620, 'total_samples': 1025, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.012, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 406, 'total_samples': 1025, 'times_true_source': 0, 'times_predicted_source': 24, 'correct_predictions': 0, 'avg_prediction_prob': 0.015, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}}"
gat_0903_0215,gat,dorothea_727_sparse,727.0,180.0,1.0,0.195,0.006,232.576,0.02,0.013,0.004,0.144,0.03,0.053,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 334, 'total_samples': 1025, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 620, 'total_samples': 1025, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.011, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 406, 'total_samples': 1025, 'times_true_source': 0, 'times_predicted_source': 35, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}}"
gat_0917_1829,gat,dorothea_727_sparse,727.0,180.0,1.0,0.28,0.009,306.458,0.014,0.013,0.004,0.046,0.013,0.02,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 334, 'total_samples': 786, 'times_true_source': 2, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 31.0, 'avg_prob_when_true': 0.021, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 620, 'total_samples': 786, 'times_true_source': 3, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': 0.015, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 127.333, 'avg_prob_when_true': 0.019, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 406, 'total_samples': 786, 'times_true_source': 3, 'times_predicted_source': 114, 'correct_predictions': 2, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 121.667, 'avg_prob_when_true': 0.024, 'in_top3_when_true': 2, 'in_top5_when_true': 2, 'accuracy_when_true': 0.667, 'precision': 0.018, 'recall': 0.667, 'f1_score': 0.034}}"
pdgrapher_0902_1826,pdgrapher,dorothea_727_sparse,727.0,180.0,1.0,0.195,0.052,23.366,1.416,-0.375,-1.155,3.181,0.126,0.18,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 334, 'total_samples': 1025, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.541, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 620, 'total_samples': 1025, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.476, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 406, 'total_samples': 1025, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.581, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}}"
pdgrapher_0903_0214,pdgrapher,dorothea_727_sparse,727.0,180.0,1.0,0.195,0.058,25.783,2.352,-0.716,-1.488,4.756,0.128,0.193,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 334, 'total_samples': 1025, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.949, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 620, 'total_samples': 1025, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.012, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 406, 'total_samples': 1025, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.684, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}}"
pdgrapher_0917_1828,pdgrapher,dorothea_727_sparse,727.0,180.0,1.0,0.28,0.004,95.439,0.408,-0.235,-0.872,1.505,0.008,0.022,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 334, 'total_samples': 786, 'times_true_source': 2, 'times_predicted_source': 6, 'correct_predictions': 0, 'avg_prediction_prob': 0.6, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 77.5, 'avg_prob_when_true': 0.451, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 620, 'total_samples': 786, 'times_true_source': 3, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.446, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 119.0, 'avg_prob_when_true': 0.228, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 406, 'total_samples': 786, 'times_true_source': 3, 'times_predicted_source': 264, 'correct_predictions': 2, 'avg_prediction_prob': 1.078, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 7.0, 'avg_prob_when_true': 1.197, 'in_top3_when_true': 2, 'in_top5_when_true': 2, 'accuracy_when_true': 0.667, 'precision': 0.008, 'recall': 0.667, 'f1_score': 0.015}}"
