filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0901_1800,advanced_random,dorothea_99,,,,,0.008,49.587,0.01,0.01,0.0,0.027,0.026,0.048,
baseline_advanced_random_0902_1603,advanced_random,dorothea_99,,,,,0.009,48.642,0.01,0.01,0.0,0.026,0.027,0.045,
baseline_advanced_random_0917_1225,advanced_random,dorothea_99,,,,,0.005,48.933,0.01,0.01,0.0,0.025,0.03,0.048,
baseline_jordan_0901_1800,jordan,dorothea_99,,,,,0.011,48.907,0.01,0.01,0.0,1.0,0.03,0.05,
baseline_jordan_0902_1603,jordan,dorothea_99,,,,,0.012,49.049,0.01,0.01,0.0,1.0,0.035,0.055,
baseline_jordan_0917_1225,jordan,dorothea_99,,,,,0.008,49.475,0.011,0.01,0.0,1.0,0.028,0.048,
baseline_overlap_0901_1800,overlap,dorothea_99,,,,,0.011,48.456,0.01,0.01,0.0,1.0,0.028,0.046,
baseline_overlap_0902_1603,overlap,dorothea_99,,,,,0.013,48.491,0.01,0.01,0.0,1.0,0.032,0.053,
baseline_overlap_0917_1225,overlap,dorothea_99,,,,,0.012,47.799,0.01,0.01,0.0,1.0,0.032,0.045,
baseline_random_0901_1800,random,dorothea_99,,,,,0.008,49.291,0.01,0.01,0.0,0.025,0.025,0.047,
baseline_random_0902_1603,random,dorothea_99,,,,,0.009,48.851,0.01,0.01,0.0,0.025,0.028,0.046,
baseline_random_0917_1225,random,dorothea_99,,,,,0.005,48.368,0.01,0.01,0.0,0.024,0.03,0.048,
baseline_smallestSuperset_0901_1800,smallestSuperset,dorothea_99,,,,,0.012,48.454,0.01,0.01,0.0,1.0,0.031,0.042,
baseline_smallestSuperset_0902_1603,smallestSuperset,dorothea_99,,,,,0.016,49.244,0.01,0.01,0.0,1.0,0.036,0.048,
baseline_smallestSuperset_0917_1225,smallestSuperset,dorothea_99,,,,,0.013,49.027,0.011,0.01,0.0,1.0,0.027,0.048,
gat_0901_1812,gat,dorothea_99,99.0,95.0,1.0,0.928,0.01,47.686,0.092,0.092,0.077,0.105,0.032,0.058,"{'MYC': {'gene_name': 'MYC', 'gene_index': 48, 'total_samples': 8646, 'times_true_source': 99, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.091, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 55.152, 'avg_prob_when_true': 0.091, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
gat_0902_1828,gat,dorothea_99,99.0,95.0,1.0,0.926,0.014,47.792,0.093,0.093,0.077,0.11,0.033,0.055,"{'MYC': {'gene_name': 'MYC', 'gene_index': 48, 'total_samples': 2491, 'times_true_source': 20, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.092, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 50.05, 'avg_prob_when_true': 0.092, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
gat_0903_0217,gat,dorothea_99,99.0,95.0,1.0,0.926,0.012,47.892,0.094,0.094,0.079,0.105,0.029,0.051,"{'MYC': {'gene_name': 'MYC', 'gene_index': 48, 'total_samples': 2491, 'times_true_source': 20, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.093, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 48.45, 'avg_prob_when_true': 0.093, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
gat_0917_1028,gat,dorothea_99,99.0,95.0,1.0,0.92,0.008,48.671,0.093,0.093,0.063,0.113,0.032,0.055,"{'MYC': {'gene_name': 'MYC', 'gene_index': 48, 'total_samples': 598, 'times_true_source': 4, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.093, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 48.0, 'avg_prob_when_true': 0.093, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
