filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1019_1337,advanced_random,dorothea_100_500,,,,,0.011,44.201,0.011,0.01,0.0,0.028,0.055,0.222,0.446,0.897,,,
baseline_advanced_random_1019_2303,advanced_random,dorothea_100_500,,,,,0.011,44.201,0.011,0.01,0.0,0.028,0.055,0.222,0.446,0.897,,,
baseline_advanced_random_1020_0825,advanced_random,dorothea_100_500,,,,,0.011,44.201,0.011,0.01,0.0,0.028,0.055,0.222,0.446,0.897,,,
baseline_advanced_random_1021_0055,advanced_random,dorothea_100_500,,,,,0.011,44.201,0.011,0.01,0.0,0.028,0.055,0.222,0.446,0.897,,,
baseline_jordan_1019_1337,jordan,dorothea_100_500,,,,,0.205,15.777,0.059,0.01,0.0,1.0,0.388,0.704,0.88,0.994,,,
baseline_jordan_1019_2303,jordan,dorothea_100_500,,,,,0.205,15.777,0.059,0.01,0.0,1.0,0.388,0.704,0.88,0.994,,,
baseline_jordan_1020_0825,jordan,dorothea_100_500,,,,,0.205,15.777,0.059,0.01,0.0,1.0,0.388,0.704,0.88,0.994,,,
baseline_jordan_1021_0055,jordan,dorothea_100_500,,,,,0.205,15.777,0.059,0.01,0.0,1.0,0.388,0.704,0.88,0.994,,,
baseline_overlap_1019_1337,overlap,dorothea_100_500,,,,,0.055,40.226,0.011,0.01,0.0,0.041,0.098,0.267,0.495,0.936,,,
baseline_overlap_1019_2303,overlap,dorothea_100_500,,,,,0.055,40.226,0.011,0.01,0.0,0.041,0.098,0.267,0.495,0.936,,,
baseline_overlap_1020_0825,overlap,dorothea_100_500,,,,,0.055,40.226,0.011,0.01,0.0,0.041,0.098,0.267,0.495,0.936,,,
baseline_overlap_1021_0055,overlap,dorothea_100_500,,,,,0.055,40.226,0.011,0.01,0.0,0.041,0.098,0.267,0.495,0.936,,,
baseline_random_1019_1337,random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_random_1019_2303,random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_random_1020_0825,random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_random_1021_0055,random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_smallestSuperset_1019_1337,smallestSuperset,dorothea_100_500,,,,,0.055,40.227,0.055,0.01,0.0,1.0,0.098,0.267,0.495,0.943,,,
baseline_smallestSuperset_1019_2303,smallestSuperset,dorothea_100_500,,,,,0.055,40.227,0.055,0.01,0.0,1.0,0.098,0.267,0.495,0.943,,,
baseline_smallestSuperset_1020_0825,smallestSuperset,dorothea_100_500,,,,,0.055,40.227,0.055,0.01,0.0,1.0,0.098,0.267,0.495,0.943,,,
baseline_smallestSuperset_1021_0055,smallestSuperset,dorothea_100_500,,,,,0.055,40.227,0.055,0.01,0.0,1.0,0.098,0.267,0.495,0.943,,,
