filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
gat_1019_1613,gat,dorothea_500_1000,500,279,1.0,0.251,0.13,54.893,0.148,0.016,0.0,0.564,0.307,0.394,0.509,0.702,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20033, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20033, 'times_true_source': 84, 'times_predicted_source': 84, 'correct_predictions': 84, 'avg_prediction_prob': 0.002, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 0.0, 'avg_prob_when_true': 0.564, 'in_top20_when_true': 84, 'in_top40_when_true': 84, 'in_top80_when_true': 84, 'accuracy_when_true': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20033, 'times_true_source': 75, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.001, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 82.347, 'avg_prob_when_true': 0.051, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 41, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20033, 'times_true_source': 72, 'times_predicted_source': 127, 'correct_predictions': 1, 'avg_prediction_prob': 0.073, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 12.778, 'avg_prob_when_true': 0.118, 'in_top20_when_true': 61, 'in_top40_when_true': 72, 'in_top80_when_true': 72, 'accuracy_when_true': 0.014, 'precision': 0.008, 'recall': 0.014, 'f1_score': 0.01}}",,
gat_1020_0307,gat,dorothea_500_1000,500,279,1.0,0.251,0.113,56.156,0.15,0.017,0.0,0.501,0.307,0.398,0.505,0.692,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20033, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20033, 'times_true_source': 84, 'times_predicted_source': 84, 'correct_predictions': 84, 'avg_prediction_prob': 0.002, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 0.0, 'avg_prob_when_true': 0.501, 'in_top20_when_true': 84, 'in_top40_when_true': 84, 'in_top80_when_true': 84, 'accuracy_when_true': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20033, 'times_true_source': 75, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.001, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 79.4, 'avg_prob_when_true': 0.054, 'in_top20_when_true': 3, 'in_top40_when_true': 9, 'in_top80_when_true': 44, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20033, 'times_true_source': 72, 'times_predicted_source': 60, 'correct_predictions': 0, 'avg_prediction_prob': 0.061, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 25.375, 'avg_prob_when_true': 0.1, 'in_top20_when_true': 30, 'in_top40_when_true': 57, 'in_top80_when_true': 72, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
gat_1020_1125,gat,dorothea_500_1000,500,279,1.0,0.251,0.109,56.378,0.149,0.017,0.0,0.501,0.306,0.397,0.503,0.691,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20033, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20033, 'times_true_source': 84, 'times_predicted_source': 84, 'correct_predictions': 84, 'avg_prediction_prob': 0.002, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 0.0, 'avg_prob_when_true': 0.501, 'in_top20_when_true': 84, 'in_top40_when_true': 84, 'in_top80_when_true': 84, 'accuracy_when_true': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20033, 'times_true_source': 75, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.001, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 83.613, 'avg_prob_when_true': 0.053, 'in_top20_when_true': 1, 'in_top40_when_true': 6, 'in_top80_when_true': 42, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20033, 'times_true_source': 72, 'times_predicted_source': 61, 'correct_predictions': 0, 'avg_prediction_prob': 0.061, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 25.167, 'avg_prob_when_true': 0.099, 'in_top20_when_true': 30, 'in_top40_when_true': 59, 'in_top80_when_true': 72, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
gat_1021_0235,gat,dorothea_500_1000,500,279,1.0,0.251,0.125,55.413,0.15,0.017,0.0,0.525,0.306,0.393,0.506,0.698,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20033, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20033, 'times_true_source': 84, 'times_predicted_source': 84, 'correct_predictions': 84, 'avg_prediction_prob': 0.002, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 0.0, 'avg_prob_when_true': 0.525, 'in_top20_when_true': 84, 'in_top40_when_true': 84, 'in_top80_when_true': 84, 'accuracy_when_true': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20033, 'times_true_source': 75, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.001, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 88.2, 'avg_prob_when_true': 0.052, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 35, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20033, 'times_true_source': 72, 'times_predicted_source': 126, 'correct_predictions': 0, 'avg_prediction_prob': 0.075, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 12.153, 'avg_prob_when_true': 0.121, 'in_top20_when_true': 62, 'in_top40_when_true': 72, 'in_top80_when_true': 72, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
pdgrapher_1019_1848,pdgrapher,dorothea_500_1000,500,279,1.0,0.251,0.062,140.955,-0.941,-3.243,-43.437,34.346,0.105,0.207,0.292,0.432,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20033, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -6.576, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20033, 'times_true_source': 84, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -3.541, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 164.0, 'avg_prob_when_true': -3.755, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20033, 'times_true_source': 75, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -3.73, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 156.947, 'avg_prob_when_true': -1.027, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 6, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20033, 'times_true_source': 72, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -2.32, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 78.125, 'avg_prob_when_true': 0.244, 'in_top20_when_true': 0, 'in_top40_when_true': 13, 'in_top80_when_true': 45, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0028, 'recall@10': 0.0265, 'recall@100': 0.2521, 'recall@1000': 1.0, 'ranking_score': 0.5405, 'ranking_score_dcg': 0.0893, 'perc_partially_accurate_predictions': 0.28, 'recall@1_std': 0.0533, 'recall@10_std': 0.1605, 'recall@100_std': 0.4342, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2909, 'ranking_score_dcg_std': 0.0878, 'perc_partially_accurate_predictions_std': 5.33, 'total_samples': 20033, 'avg_topk': 270.2432}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1020_0109,pdgrapher,dorothea_500_1000,500,279,1.0,0.251,0.087,73.474,1.197,-1.445,-9.248,16.191,0.173,0.301,0.408,0.666,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20033, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.803, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20033, 'times_true_source': 84, 'times_predicted_source': 84, 'correct_predictions': 84, 'avg_prediction_prob': -1.068, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 0.0, 'avg_prob_when_true': 3.273, 'in_top20_when_true': 84, 'in_top40_when_true': 84, 'in_top80_when_true': 84, 'accuracy_when_true': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20033, 'times_true_source': 75, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.886, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 57.173, 'avg_prob_when_true': 1.493, 'in_top20_when_true': 0, 'in_top40_when_true': 2, 'in_top80_when_true': 73, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20033, 'times_true_source': 72, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.044, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 44.778, 'avg_prob_when_true': 2.189, 'in_top20_when_true': 10, 'in_top40_when_true': 23, 'in_top80_when_true': 72, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0009, 'recall@10': 0.0218, 'recall@100': 0.229, 'recall@1000': 1.0, 'ranking_score': 0.5246, 'ranking_score_dcg': 0.0848, 'perc_partially_accurate_predictions': 0.09, 'recall@1_std': 0.0308, 'recall@10_std': 0.1459, 'recall@100_std': 0.4202, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2893, 'ranking_score_dcg_std': 0.0796, 'perc_partially_accurate_predictions_std': 3.08, 'total_samples': 20033, 'avg_topk': 262.303}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1020_1050,pdgrapher,dorothea_500_1000,500,279,1.0,0.251,0.02,105.673,-0.757,-2.957,-20.744,20.973,0.147,0.354,0.461,0.577,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20033, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.585, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20033, 'times_true_source': 84, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -4.565, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 8.0, 'avg_prob_when_true': 1.891, 'in_top20_when_true': 84, 'in_top40_when_true': 84, 'in_top80_when_true': 84, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20033, 'times_true_source': 75, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -3.199, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 174.0, 'avg_prob_when_true': -2.605, 'in_top20_when_true': 0, 'in_top40_when_true': 2, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20033, 'times_true_source': 72, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.824, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 62.736, 'avg_prob_when_true': -1.513, 'in_top20_when_true': 0, 'in_top40_when_true': 13, 'in_top80_when_true': 61, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0027, 'recall@10': 0.0266, 'recall@100': 0.2535, 'recall@1000': 1.0, 'ranking_score': 0.5482, 'ranking_score_dcg': 0.091, 'perc_partially_accurate_predictions': 0.27, 'recall@1_std': 0.0518, 'recall@10_std': 0.1608, 'recall@100_std': 0.435, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2874, 'ranking_score_dcg_std': 0.089, 'perc_partially_accurate_predictions_std': 5.18, 'total_samples': 20033, 'avg_topk': 274.1078}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1021_0253,pdgrapher,dorothea_500_1000,500,279,1.0,0.251,0.033,112.494,-3.445,-8.267,-92.964,4.516,0.108,0.226,0.345,0.539,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20033, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -6.014, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20033, 'times_true_source': 84, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -7.885, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 213.0, 'avg_prob_when_true': -11.001, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20033, 'times_true_source': 75, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -4.694, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 49.96, 'avg_prob_when_true': -0.262, 'in_top20_when_true': 0, 'in_top40_when_true': 19, 'in_top80_when_true': 75, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20033, 'times_true_source': 72, 'times_predicted_source': 11328, 'correct_predictions': 72, 'avg_prediction_prob': -2.57, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 0.0, 'avg_prob_when_true': 3.496, 'in_top20_when_true': 72, 'in_top40_when_true': 72, 'in_top80_when_true': 72, 'accuracy_when_true': 1.0, 'precision': 0.006, 'recall': 1.0, 'f1_score': 0.013}}","{'recall@1': 0.0033, 'recall@10': 0.0277, 'recall@100': 0.2494, 'recall@1000': 1.0, 'ranking_score': 0.5427, 'ranking_score_dcg': 0.0913, 'perc_partially_accurate_predictions': 0.33, 'recall@1_std': 0.0573, 'recall@10_std': 0.164, 'recall@100_std': 0.4327, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2895, 'ranking_score_dcg_std': 0.094, 'perc_partially_accurate_predictions_std': 5.73, 'total_samples': 20033, 'avg_topk': 271.3606}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgraphernognn_1019_1610,pdgraphernognn,dorothea_500_1000,500,279,1.0,0.251,0.164,77.863,-1.54,-7.889,-287.466,2.801,0.248,0.37,0.51,0.732,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20033, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -2.876, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20033, 'times_true_source': 84, 'times_predicted_source': 84, 'correct_predictions': 84, 'avg_prediction_prob': -2.131, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 0.0, 'avg_prob_when_true': -0.762, 'in_top20_when_true': 84, 'in_top40_when_true': 84, 'in_top80_when_true': 84, 'accuracy_when_true': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20033, 'times_true_source': 75, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -2.098, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 43.88, 'avg_prob_when_true': 0.096, 'in_top20_when_true': 2, 'in_top40_when_true': 31, 'in_top80_when_true': 74, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20033, 'times_true_source': 72, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -10.98, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 355.833, 'avg_prob_when_true': -3.831, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0037, 'recall@10': 0.0268, 'recall@100': 0.2256, 'recall@1000': 1.0, 'ranking_score': 0.5347, 'ranking_score_dcg': 0.0894, 'perc_partially_accurate_predictions': 0.37, 'recall@1_std': 0.0611, 'recall@10_std': 0.1614, 'recall@100_std': 0.418, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2811, 'ranking_score_dcg_std': 0.0948, 'perc_partially_accurate_predictions_std': 6.11, 'total_samples': 20033, 'avg_topk': 267.3709}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgraphernognn_1020_0027,pdgraphernognn,dorothea_500_1000,500,279,1.0,0.251,0.001,95.721,-0.543,-9.572,-144.062,4.956,0.013,0.096,0.345,0.564,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 20033, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -3.808, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 20033, 'times_true_source': 84, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -4.964, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 210.0, 'avg_prob_when_true': -2.912, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 20033, 'times_true_source': 75, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -3.921, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 143.413, 'avg_prob_when_true': -2.063, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 20033, 'times_true_source': 72, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.837, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 76.361, 'avg_prob_when_true': 0.302, 'in_top20_when_true': 0, 'in_top40_when_true': 2, 'in_top80_when_true': 39, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0025, 'recall@10': 0.0279, 'recall@100': 0.2898, 'recall@1000': 1.0, 'ranking_score': 0.5642, 'ranking_score_dcg': 0.0944, 'perc_partially_accurate_predictions': 0.25, 'recall@1_std': 0.0504, 'recall@10_std': 0.1647, 'recall@100_std': 0.4537, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2848, 'ranking_score_dcg_std': 0.088, 'perc_partially_accurate_predictions_std': 5.04, 'total_samples': 20033, 'avg_topk': 282.1233}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
