filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1103_0935,advanced_random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_advanced_random_1103_0954,advanced_random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_advanced_random_1103_1504,advanced_random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_advanced_random_1104_1040,advanced_random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_jordan_1103_0935,jordan,dorothea_100_200,,,,,0.004,53.807,0.538,0.009,0.01,0.0,1.0,0.026,0.156,0.33,0.757,,,
baseline_jordan_1103_0954,jordan,dorothea_100_200,,,,,0.004,53.807,0.538,0.009,0.01,0.0,1.0,0.026,0.156,0.33,0.757,,,
baseline_jordan_1103_1504,jordan,dorothea_100_200,,,,,0.004,53.807,0.538,0.009,0.01,0.0,1.0,0.026,0.156,0.33,0.757,,,
baseline_jordan_1104_1040,jordan,dorothea_100_200,,,,,0.004,53.807,0.538,0.009,0.01,0.0,1.0,0.026,0.156,0.33,0.757,,,
baseline_overlap_1103_0935,overlap,dorothea_100_200,,,,,0.0,49.909,0.499,0.01,0.01,0.01,0.01,0.051,0.205,0.385,0.773,,,
baseline_overlap_1103_0954,overlap,dorothea_100_200,,,,,0.0,49.909,0.499,0.01,0.01,0.01,0.01,0.051,0.205,0.385,0.773,,,
baseline_overlap_1103_1504,overlap,dorothea_100_200,,,,,0.0,49.909,0.499,0.01,0.01,0.01,0.01,0.051,0.205,0.385,0.773,,,
baseline_overlap_1104_1040,overlap,dorothea_100_200,,,,,0.0,49.909,0.499,0.01,0.01,0.01,0.01,0.051,0.205,0.385,0.773,,,
baseline_random_1103_0935,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_random_1103_0954,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_random_1103_1504,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_random_1104_1040,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_smallestSuperset_1103_0935,smallestSuperset,dorothea_100_200,,,,,0.0,49.909,0.499,0.01,0.01,0.01,0.01,0.051,0.205,0.385,0.773,,,
baseline_smallestSuperset_1103_0954,smallestSuperset,dorothea_100_200,,,,,0.0,49.909,0.499,0.01,0.01,0.01,0.01,0.051,0.205,0.385,0.773,,,
baseline_smallestSuperset_1103_1504,smallestSuperset,dorothea_100_200,,,,,0.0,49.909,0.499,0.01,0.01,0.01,0.01,0.051,0.205,0.385,0.773,,,
baseline_smallestSuperset_1104_1040,smallestSuperset,dorothea_100_200,,,,,0.0,49.909,0.499,0.01,0.01,0.01,0.01,0.051,0.205,0.385,0.773,,,
pdgrapher_1103_1000,pdgrapher,dorothea_100_200,100.0,71.0,1.0,0.444,0.025,33.82,0.338,0.231,-0.565,-4.727,3.694,0.081,0.31,0.585,1.0,"{'recall@1': 0.0141, 'recall@10': 0.144, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.6505, 'ranking_score_dcg': 0.1658, 'perc_partially_accurate_predictions': 1.41, 'recall@1_std': 0.1178, 'recall@10_std': 0.3511, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2096, 'ranking_score_dcg_std': 0.1441, 'perc_partially_accurate_predictions_std': 11.78, 'total_samples': 1847, 'avg_topk': 65.0455}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 1847, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -3.115, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 1847, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -2.391, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 1847, 'times_true_source': 25, 'times_predicted_source': 17, 'correct_predictions': 0, 'avg_prediction_prob': 0.149, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 36.6, 'avg_prob_when_true': 0.215, 'in_top20_when_true': 6, 'in_top40_when_true': 13, 'in_top80_when_true': 25, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
