filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1103_1504,advanced_random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_advanced_random_1104_1040,advanced_random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_jordan_1103_1504,jordan,dorothea_100_200,,,,,0.011,49.683,0.497,0.009,0.01,0.0,1.0,0.042,0.168,0.368,0.79,,,
baseline_jordan_1104_1040,jordan,dorothea_100_200,,,,,0.011,49.683,0.497,0.009,0.01,0.0,1.0,0.042,0.168,0.368,0.79,,,
baseline_overlap_1103_1504,overlap,dorothea_100_200,,,,,0.0,49.909,0.499,0.01,0.01,0.01,0.01,0.051,0.205,0.385,0.773,,,
baseline_overlap_1104_1040,overlap,dorothea_100_200,,,,,0.0,49.909,0.499,0.01,0.01,0.01,0.01,0.051,0.205,0.385,0.773,,,
baseline_random_1103_1504,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_random_1104_1040,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_smallestSuperset_1103_1504,smallestSuperset,dorothea_100_200,,,,,0.0,49.909,0.499,0.01,0.01,0.01,0.01,0.051,0.205,0.385,0.773,,,
baseline_smallestSuperset_1104_1040,smallestSuperset,dorothea_100_200,,,,,0.0,49.909,0.499,0.01,0.01,0.01,0.01,0.051,0.205,0.385,0.773,,,
