filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1103_0934,advanced_random,dorothea_100_200,,,,,0.016,35.262,0.353,0.014,0.01,0.0,0.037,0.066,0.286,0.58,0.97,,,
baseline_advanced_random_1103_0954,advanced_random,dorothea_100_200,,,,,0.016,35.262,0.353,0.014,0.01,0.0,0.037,0.066,0.286,0.58,0.97,,,
baseline_advanced_random_1103_1502,advanced_random,dorothea_100_200,,,,,0.016,35.262,0.353,0.014,0.01,0.0,0.037,0.066,0.286,0.58,0.97,,,
baseline_advanced_random_1104_1040,advanced_random,dorothea_100_200,,,,,0.016,35.262,0.353,0.014,0.01,0.0,0.037,0.066,0.286,0.58,0.97,,,
baseline_jordan_1103_0934,jordan,dorothea_100_200,,,,,0.023,47.447,0.474,0.015,0.01,0.0,1.0,0.077,0.231,0.43,0.79,,,
baseline_jordan_1103_0954,jordan,dorothea_100_200,,,,,0.023,47.447,0.474,0.015,0.01,0.0,1.0,0.077,0.231,0.43,0.79,,,
baseline_jordan_1103_1502,jordan,dorothea_100_200,,,,,0.023,47.447,0.474,0.015,0.01,0.0,1.0,0.077,0.231,0.43,0.79,,,
baseline_jordan_1104_1040,jordan,dorothea_100_200,,,,,0.023,47.447,0.474,0.015,0.01,0.0,1.0,0.077,0.231,0.43,0.79,,,
baseline_overlap_1103_0934,overlap,dorothea_100_200,,,,,0.049,23.967,0.24,0.035,0.01,0.0,0.531,0.271,0.546,0.74,0.967,,,
baseline_overlap_1103_0954,overlap,dorothea_100_200,,,,,0.049,23.967,0.24,0.035,0.01,0.0,0.531,0.271,0.546,0.74,0.967,,,
baseline_overlap_1103_1502,overlap,dorothea_100_200,,,,,0.049,23.967,0.24,0.035,0.01,0.0,0.531,0.271,0.546,0.74,0.967,,,
baseline_overlap_1104_1040,overlap,dorothea_100_200,,,,,0.049,23.967,0.24,0.035,0.01,0.0,0.531,0.271,0.546,0.74,0.967,,,
baseline_random_1103_0934,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_random_1103_0954,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_random_1103_1502,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_random_1104_1040,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_smallestSuperset_1103_0934,smallestSuperset,dorothea_100_200,,,,,0.025,48.449,0.484,0.019,0.01,0.0,1.0,0.087,0.228,0.381,0.781,,,
baseline_smallestSuperset_1103_0954,smallestSuperset,dorothea_100_200,,,,,0.025,48.449,0.484,0.019,0.01,0.0,1.0,0.087,0.228,0.381,0.781,,,
baseline_smallestSuperset_1103_1502,smallestSuperset,dorothea_100_200,,,,,0.025,48.449,0.484,0.019,0.01,0.0,1.0,0.087,0.228,0.381,0.781,,,
baseline_smallestSuperset_1104_1040,smallestSuperset,dorothea_100_200,,,,,0.025,48.449,0.484,0.019,0.01,0.0,1.0,0.087,0.228,0.381,0.781,,,
