filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1103_0934,advanced_random,dorothea_100_200,,,,,0.016,36.136,0.361,0.014,0.01,0.0,0.04,0.059,0.286,0.576,0.953,,,
baseline_advanced_random_1103_0954,advanced_random,dorothea_100_200,,,,,0.016,36.136,0.361,0.014,0.01,0.0,0.04,0.059,0.286,0.576,0.953,,,
baseline_advanced_random_1103_1502,advanced_random,dorothea_100_200,,,,,0.016,36.136,0.361,0.014,0.01,0.0,0.04,0.059,0.286,0.576,0.953,,,
baseline_advanced_random_1104_1040,advanced_random,dorothea_100_200,,,,,0.016,36.136,0.361,0.014,0.01,0.0,0.04,0.059,0.286,0.576,0.953,,,
baseline_jordan_1103_0934,jordan,dorothea_100_200,,,,,0.024,50.523,0.505,0.022,0.01,0.0,1.0,0.068,0.162,0.376,0.783,,,
baseline_jordan_1103_0954,jordan,dorothea_100_200,,,,,0.024,50.523,0.505,0.022,0.01,0.0,1.0,0.068,0.162,0.376,0.783,,,
baseline_jordan_1103_1502,jordan,dorothea_100_200,,,,,0.024,50.523,0.505,0.022,0.01,0.0,1.0,0.068,0.162,0.376,0.783,,,
baseline_jordan_1104_1040,jordan,dorothea_100_200,,,,,0.024,50.523,0.505,0.022,0.01,0.0,1.0,0.068,0.162,0.376,0.783,,,
baseline_overlap_1103_0934,overlap,dorothea_100_200,,,,,0.018,30.721,0.307,0.024,0.01,0.0,0.553,0.141,0.417,0.688,0.947,,,
baseline_overlap_1103_0954,overlap,dorothea_100_200,,,,,0.018,30.721,0.307,0.024,0.01,0.0,0.553,0.141,0.417,0.688,0.947,,,
baseline_overlap_1103_1502,overlap,dorothea_100_200,,,,,0.018,30.721,0.307,0.024,0.01,0.0,0.553,0.141,0.417,0.688,0.947,,,
baseline_overlap_1104_1040,overlap,dorothea_100_200,,,,,0.018,30.721,0.307,0.024,0.01,0.0,0.553,0.141,0.417,0.688,0.947,,,
baseline_random_1103_0934,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_random_1103_0954,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_random_1103_1502,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
