filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1211_1217,advanced_random,pw_in_cancer,,,,,0.005,115.442,0.479,0.004,0.004,0.0,0.014,0.019,0.086,0.173,0.352,,
baseline_advanced_random_1211_1526,advanced_random,pw_in_cancer,,,,,0.005,115.442,0.479,0.004,0.004,0.0,0.014,0.019,0.086,0.173,0.352,,
baseline_advanced_random_1211_1539,advanced_random,pw_in_cancer,,,,,0.003,116.047,0.482,0.004,0.004,0.0,0.014,0.018,0.088,0.17,0.35,,
baseline_advanced_random_1211_1607,advanced_random,pw_in_cancer,,,,,0.003,116.047,0.482,0.004,0.004,0.0,0.014,0.018,0.088,0.17,0.35,,
baseline_overlap_1211_1217,overlap,pw_in_cancer,,,,,0.003,122.527,0.508,0.004,0.004,0.0,0.016,0.014,0.073,0.156,0.308,,
baseline_overlap_1211_1526,overlap,pw_in_cancer,,,,,0.003,122.527,0.508,0.004,0.004,0.0,0.016,0.014,0.073,0.156,0.308,,
baseline_overlap_1211_1539,overlap,pw_in_cancer,,,,,0.004,123.7,0.513,0.004,0.004,0.0,0.016,0.015,0.076,0.161,0.304,,
baseline_overlap_1211_1607,overlap,pw_in_cancer,,,,,0.004,123.7,0.513,0.004,0.004,0.0,0.016,0.015,0.076,0.161,0.304,,
baseline_random_1211_1217,random,pw_in_cancer,,,,,0.005,119.795,0.497,0.004,0.004,0.0,0.009,0.02,0.081,0.164,0.33,,
baseline_random_1211_1526,random,pw_in_cancer,,,,,0.005,119.795,0.497,0.004,0.004,0.0,0.009,0.02,0.081,0.164,0.33,,
baseline_random_1211_1539,random,pw_in_cancer,,,,,0.004,119.532,0.496,0.004,0.004,0.0,0.009,0.02,0.086,0.167,0.339,,
baseline_random_1211_1607,random,pw_in_cancer,,,,,0.004,119.532,0.496,0.004,0.004,0.0,0.009,0.02,0.086,0.167,0.339,,
