filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1117_1352,advanced_random,dorothea_500_1000,,,,,0.004,140.378,0.281,0.004,0.002,0.0,0.008,0.015,0.074,0.155,0.276,,,
baseline_advanced_random_1117_1433,advanced_random,dorothea_500_1000,,,,,0.004,140.378,0.281,0.004,0.002,0.0,0.008,0.015,0.074,0.155,0.276,,,
baseline_advanced_random_1117_2329,advanced_random,dorothea_500_1000,,,,,0.004,140.378,0.281,0.004,0.002,0.0,0.008,0.015,0.074,0.155,0.276,,,
baseline_advanced_random_1118_0904,advanced_random,dorothea_500_1000,,,,,0.004,140.378,0.281,0.004,0.002,0.0,0.008,0.015,0.074,0.155,0.276,,,
baseline_advanced_random_1118_1004,advanced_random,dorothea_500_1000,,,,,0.004,140.378,0.281,0.004,0.002,0.0,0.008,0.015,0.074,0.155,0.276,,,
baseline_overlap_1117_1352,overlap,dorothea_500_1000,,,,,0.109,64.892,0.13,0.048,0.002,0.0,0.664,0.34,0.396,0.466,0.609,,,
baseline_overlap_1117_1433,overlap,dorothea_500_1000,,,,,0.109,64.892,0.13,0.048,0.002,0.0,0.664,0.34,0.396,0.466,0.609,,,
baseline_overlap_1117_2329,overlap,dorothea_500_1000,,,,,0.109,64.892,0.13,0.048,0.002,0.0,0.664,0.34,0.396,0.466,0.609,,,
baseline_overlap_1118_0904,overlap,dorothea_500_1000,,,,,0.109,64.892,0.13,0.048,0.002,0.0,0.664,0.34,0.396,0.466,0.609,,,
baseline_overlap_1118_1004,overlap,dorothea_500_1000,,,,,0.109,64.892,0.13,0.048,0.002,0.0,0.664,0.34,0.396,0.466,0.609,,,
baseline_random_1117_1352,random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_random_1117_1433,random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_random_1117_2329,random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_random_1118_0904,random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_random_1118_1004,random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_smallestSuperset_1117_1352,smallestSuperset,dorothea_500_1000,,,,,0.129,146.89,0.294,0.129,0.002,0.0,1.0,0.143,0.205,0.295,0.458,,,
baseline_smallestSuperset_1117_1433,smallestSuperset,dorothea_500_1000,,,,,0.129,146.89,0.294,0.129,0.002,0.0,1.0,0.143,0.205,0.295,0.458,,,
baseline_smallestSuperset_1117_2329,smallestSuperset,dorothea_500_1000,,,,,0.129,146.89,0.294,0.129,0.002,0.0,1.0,0.143,0.205,0.295,0.458,,,
baseline_smallestSuperset_1118_0904,smallestSuperset,dorothea_500_1000,,,,,0.129,146.89,0.294,0.129,0.002,0.0,1.0,0.143,0.205,0.295,0.458,,,
baseline_smallestSuperset_1118_1004,smallestSuperset,dorothea_500_1000,,,,,0.129,146.89,0.294,0.129,0.002,0.0,1.0,0.143,0.205,0.295,0.458,,,
pdgrapher_1117_1417,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.029,113.86,0.228,0.498,-0.497,-4.041,4.817,0.073,0.18,0.272,0.424,"{'recall@1': 0.0045, 'recall@10': 0.0352, 'recall@100': 0.3424, 'recall@1000': 1.0, 'ranking_score': 0.7153, 'ranking_score_dcg': 0.1211, 'perc_partially_accurate_predictions': 0.45, 'recall@1_std': 0.067, 'recall@10_std': 0.1842, 'recall@100_std': 0.4745, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1647, 'ranking_score_dcg_std': 0.0902, 'perc_partially_accurate_predictions_std': 6.7, 'total_samples': 2217, 'avg_topk': 357.6297}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.323, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 24, 'correct_predictions': 4, 'avg_prediction_prob': 0.357, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 30.286, 'avg_prob_when_true': 2.835, 'in_top20_when_true': 6, 'in_top40_when_true': 6, 'in_top80_when_true': 6, 'accuracy_when_true': 0.571, 'precision': 0.167, 'recall': 0.571, 'f1_score': 0.258}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2217, 'times_true_source': 6, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.242, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 136.667, 'avg_prob_when_true': 0.227, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.423, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 63.571, 'avg_prob_when_true': 0.544, 'in_top20_when_true': 2, 'in_top40_when_true': 4, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
