experiment,file,file_path,network,model_type,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,recall@1,recall@10,recall@100,recall@1000,ranking_score,ranking_score_dcg,perc_partially_accurate_predictions,recall@1_std,recall@10_std,recall@100_std,recall@1000_std,ranking_score_std,ranking_score_dcg_std,perc_partially_accurate_predictions_std,total_samples,avg_topk
exp0,pdgrapher_1117_1417.json,reports/exp0/pdgrapher_1117_1417.json,dorothea_500_1000,pdgrapher,0.029,113.86,0.228,0.498,-0.497,-4.041,4.817,0.073,0.18,0.272,0.424,0.0045,0.0352,0.3424,1.0,0.7153,0.1211,0.45,0.067,0.1842,0.4745,0.0,0.1647,0.0902,6.7,2217,357.6297
exp0,pdgrapher_1117_1444.json,reports/exp0/pdgrapher_1117_1444.json,dorothea_500_1000,pdgrapher,0.02,117.831,0.236,0.409,-0.211,-1.924,4.415,0.068,0.168,0.258,0.413,0.0041,0.0347,0.313,1.0,0.696,0.1169,0.41,0.0636,0.1831,0.4637,0.0,0.1752,0.0909,6.36,2217,348.0153
exp0,pdgrapher_1118_0024.json,reports/exp0/pdgrapher_1118_0024.json,dorothea_500_1000,pdgrapher,0.016,119.36,0.239,0.172,-0.618,-3.295,2.189,0.065,0.164,0.26,0.392,0.0018,0.0275,0.3599,1.0,0.7137,0.1188,0.18,0.0424,0.1636,0.48,0.0,0.1663,0.0778,4.24,2217,356.8548
exp0,pdgrapher_1118_0944.json,reports/exp0/pdgrapher_1118_0944.json,dorothea_500_1000,pdgrapher,0.025,122.769,0.246,0.349,-0.39,-2.546,5.669,0.078,0.175,0.253,0.399,0.0018,0.0338,0.3378,1.0,0.6962,0.1162,0.18,0.0424,0.1808,0.473,0.0,0.1796,0.0819,4.24,2217,348.1078
exp0,pdgrapher_1118_1123.json,reports/exp0/pdgrapher_1118_1123.json,dorothea_500_1000,pdgrapher,0.015,121.278,0.243,0.207,-0.32,-3.12,1.416,0.055,0.143,0.244,0.397,0.0027,0.0343,0.3401,1.0,0.7127,0.1194,0.27,0.052,0.1819,0.4737,0.0,0.1696,0.0817,5.2,2217,356.3257
exp0_fr,pdgrapher_1117_1418.json,reports/exp0_fr/pdgrapher_1117_1418.json,dorothea_500_1000,pdgrapher,0.008,133.785,0.268,0.222,-0.083,-1.302,2.767,0.031,0.103,0.183,0.335,0.0032,0.0356,0.373,1.0,0.714,0.1221,0.32,0.0561,0.1854,0.4836,0.0,0.1781,0.0879,5.61,2217,356.9856
exp0_fr,pdgrapher_1117_1558.json,reports/exp0_fr/pdgrapher_1117_1558.json,dorothea_500_1000,pdgrapher,0.005,132.472,0.265,0.19,-0.511,-3.981,3.133,0.023,0.092,0.181,0.332,0.0018,0.0334,0.359,1.0,0.7151,0.1197,0.18,0.0424,0.1796,0.4797,0.0,0.1693,0.079,4.24,2217,357.5494
exp0_fr,pdgrapher_1118_0025.json,reports/exp0_fr/pdgrapher_1118_0025.json,dorothea_500_1000,pdgrapher,0.007,136.253,0.273,0.289,0.017,-0.966,3.103,0.03,0.104,0.192,0.346,0.0018,0.0356,0.3356,1.0,0.7018,0.1168,0.18,0.0424,0.1854,0.4722,0.0,0.1824,0.0786,4.24,2217,350.9066
exp0_fr,pdgrapher_1118_0945.json,reports/exp0_fr/pdgrapher_1118_0945.json,dorothea_500_1000,pdgrapher,0.004,131.873,0.264,0.161,-0.053,-0.857,2.407,0.035,0.114,0.196,0.348,0.0027,0.0343,0.359,1.0,0.7127,0.1208,0.27,0.052,0.1819,0.4797,0.0,0.1773,0.0844,5.2,2217,356.3608
exp0_fr,pdgrapher_1118_1123.json,reports/exp0_fr/pdgrapher_1118_1123.json,dorothea_500_1000,pdgrapher,0.008,132.586,0.265,0.205,-0.032,-1.223,3.453,0.029,0.111,0.203,0.352,0.0023,0.0347,0.346,1.0,0.7063,0.1189,0.23,0.0474,0.1831,0.4757,0.0,0.182,0.0811,4.74,2217,353.1498
exp0_r33,pdgrapher_1117_1418.json,reports/exp0_r33/pdgrapher_1117_1418.json,dorothea_500_1000,pdgrapher,0.011,131.175,0.262,0.186,-0.667,-5.518,2.628,0.041,0.115,0.194,0.336,0.0023,0.0352,0.3437,1.0,0.7112,0.1202,0.23,0.0474,0.1842,0.4749,0.0,0.1682,0.0856,4.74,2217,355.6175
exp0_r33,pdgrapher_1117_1446.json,reports/exp0_r33/pdgrapher_1117_1446.json,dorothea_500_1000,pdgrapher,0.011,124.898,0.25,0.257,-0.182,-2.619,2.787,0.046,0.148,0.232,0.384,0.0036,0.0293,0.3464,1.0,0.7108,0.1199,0.36,0.06,0.1687,0.4758,0.0,0.1693,0.0877,6.0,2217,355.4177
exp0_r33,pdgrapher_1118_0026.json,reports/exp0_r33/pdgrapher_1118_0026.json,dorothea_500_1000,pdgrapher,0.016,124.117,0.248,0.388,-0.045,-1.264,4.168,0.054,0.14,0.226,0.378,0.0036,0.0316,0.35,1.0,0.716,0.1197,0.36,0.06,0.1749,0.477,0.0,0.1666,0.0834,6.0,2217,358.018
exp0_r33,pdgrapher_1118_0946.json,reports/exp0_r33/pdgrapher_1118_0946.json,dorothea_500_1000,pdgrapher,0.015,120.216,0.24,0.385,-0.664,-3.636,4.231,0.051,0.143,0.229,0.39,0.0023,0.0329,0.3387,1.0,0.7143,0.1191,0.23,0.0474,0.1784,0.4733,0.0,0.1637,0.0786,4.74,2217,357.1588
exp0_r33,pdgrapher_1118_1124.json,reports/exp0_r33/pdgrapher_1118_1124.json,dorothea_500_1000,pdgrapher,0.012,118.291,0.237,0.393,-1.018,-5.389,3.995,0.05,0.142,0.238,0.396,0.0027,0.0293,0.3455,1.0,0.7176,0.1193,0.27,0.052,0.1687,0.4755,0.0,0.161,0.0792,5.2,2217,358.806
exp0_r66,pdgrapher_1117_1319.json,reports/exp0_r66/pdgrapher_1117_1319.json,dorothea_500_1000,pdgrapher,0.012,128.787,0.258,0.325,-0.176,-2.391,3.706,0.048,0.129,0.215,0.358,0.0041,0.0447,0.3631,1.0,0.7157,0.1239,0.41,0.0636,0.2065,0.4809,0.0,0.1746,0.0937,6.36,2217,357.8345
exp0_r66,pdgrapher_1117_1443.json,reports/exp0_r66/pdgrapher_1117_1443.json,dorothea_500_1000,pdgrapher,0.012,133.686,0.267,0.199,-0.063,-1.141,3.701,0.045,0.13,0.215,0.347,0.0041,0.0397,0.3406,1.0,0.702,0.1188,0.41,0.0636,0.1952,0.4739,0.0,0.1785,0.0895,6.36,2217,351.0086
exp0_r66,pdgrapher_1118_0025.json,reports/exp0_r66/pdgrapher_1118_0025.json,dorothea_500_1000,pdgrapher,0.006,134.089,0.268,0.249,-1.122,-5.264,2.718,0.029,0.099,0.179,0.326,0.0018,0.0352,0.3509,1.0,0.7219,0.1225,0.18,0.0424,0.1842,0.4773,0.0,0.1635,0.0832,4.24,2217,360.9269
exp0_r66,pdgrapher_1118_0945.json,reports/exp0_r66/pdgrapher_1118_0945.json,dorothea_500_1000,pdgrapher,0.011,127.784,0.256,0.21,-0.087,-1.422,2.594,0.046,0.133,0.218,0.364,0.0045,0.0361,0.3514,1.0,0.7161,0.1212,0.45,0.067,0.1865,0.4774,0.0,0.1687,0.0882,6.7,2217,358.0379
exp0_r66,pdgrapher_1118_1125.json,reports/exp0_r66/pdgrapher_1118_1125.json,dorothea_500_1000,pdgrapher,0.012,125.387,0.251,0.329,-0.738,-3.863,3.462,0.037,0.111,0.204,0.371,0.0027,0.0302,0.3338,1.0,0.7127,0.1176,0.27,0.052,0.1712,0.4716,0.0,0.1612,0.0786,5.2,2217,356.3636
exp1,pdgrapher_1117_1419.json,reports/exp1/pdgrapher_1117_1419.json,dorothea_500_1000,pdgrapher,0.014,119.086,0.238,0.289,-0.173,-2.009,2.967,0.048,0.145,0.244,0.391,0.0018,0.033,0.361,1.0,0.7187,0.1207,0.18,0.0419,0.1786,0.4803,0.0,0.1688,0.0796,4.19,2274,359.3307
exp1,pdgrapher_1118_0026.json,reports/exp1/pdgrapher_1118_0026.json,dorothea_500_1000,pdgrapher,0.018,120.507,0.241,0.315,-0.111,-1.669,3.72,0.059,0.166,0.257,0.395,0.0022,0.0312,0.332,1.0,0.7089,0.1174,0.22,0.0468,0.1739,0.4709,0.0,0.1664,0.0793,4.68,2274,354.4336
exp1,pdgrapher_1118_0947.json,reports/exp1/pdgrapher_1118_0947.json,dorothea_500_1000,pdgrapher,0.013,118.782,0.238,0.319,-0.072,-1.598,2.805,0.048,0.145,0.243,0.414,0.0018,0.0277,0.3382,1.0,0.703,0.1157,0.18,0.0419,0.1641,0.4731,0.0,0.1759,0.0757,4.19,2274,351.5158
exp1,pdgrapher_1118_1125.json,reports/exp1/pdgrapher_1118_1125.json,dorothea_500_1000,pdgrapher,0.017,117.896,0.236,0.457,-0.101,-1.492,3.926,0.058,0.168,0.264,0.405,0.004,0.0299,0.3452,1.0,0.7074,0.1183,0.4,0.0628,0.1703,0.4754,0.0,0.1713,0.0865,6.28,2274,353.7067
exp1,pdgrapher_1118_1233.json,reports/exp1/pdgrapher_1118_1233.json,dorothea_500_1000,pdgrapher,0.018,118.943,0.238,0.361,-0.121,-1.878,3.003,0.056,0.152,0.244,0.397,0.0031,0.0321,0.3237,1.0,0.7041,0.1167,0.31,0.0554,0.1763,0.4679,0.0,0.1705,0.0818,5.54,2274,352.0695
exp1_fr,pdgrapher_1117_1420.json,reports/exp1_fr/pdgrapher_1117_1420.json,dorothea_500_1000,pdgrapher,0.005,133.367,0.267,0.217,-0.407,-3.08,2.586,0.023,0.091,0.178,0.324,0.0053,0.0356,0.361,1.0,0.7195,0.1233,0.53,0.0725,0.1853,0.4803,0.0,0.1683,0.0916,7.25,2274,359.737
exp1_fr,pdgrapher_1117_1453.json,reports/exp1_fr/pdgrapher_1117_1453.json,dorothea_500_1000,pdgrapher,0.007,131.434,0.263,0.255,-0.692,-4.003,3.019,0.025,0.093,0.181,0.33,0.0048,0.0321,0.3588,1.0,0.7199,0.1218,0.48,0.0694,0.1763,0.4797,0.0,0.165,0.0896,6.94,2274,359.9446
exp1_fr,pdgrapher_1118_0028.json,reports/exp1_fr/pdgrapher_1118_0028.json,dorothea_500_1000,pdgrapher,0.009,130.142,0.26,0.22,-0.132,-1.686,2.663,0.035,0.102,0.186,0.337,0.0057,0.0325,0.3487,1.0,0.708,0.1203,0.57,0.0754,0.1774,0.4766,0.0,0.1751,0.0933,7.54,2274,354.0237
exp1_fr,pdgrapher_1118_0948.json,reports/exp1_fr/pdgrapher_1118_0948.json,dorothea_500_1000,pdgrapher,0.007,133.391,0.267,0.274,-0.078,-1.859,3.551,0.028,0.104,0.179,0.335,0.0044,0.0343,0.3448,1.0,0.7105,0.12,0.44,0.0662,0.182,0.4753,0.0,0.1713,0.0896,6.62,2274,355.2445
exp1_fr,pdgrapher_1118_1126.json,reports/exp1_fr/pdgrapher_1118_1126.json,dorothea_500_1000,pdgrapher,0.004,133.215,0.266,0.245,-0.684,-3.159,3.617,0.022,0.095,0.173,0.328,0.0035,0.0369,0.3443,1.0,0.7186,0.1224,0.35,0.0592,0.1886,0.4751,0.0,0.1637,0.0898,5.92,2274,359.3188
exp1_r33,pdgrapher_1117_1420.json,reports/exp1_r33/pdgrapher_1117_1420.json,dorothea_500_1000,pdgrapher,0.011,124.153,0.248,0.47,-0.459,-3.995,2.697,0.042,0.107,0.197,0.351,0.0022,0.0312,0.35,1.0,0.718,0.1197,0.22,0.0468,0.1739,0.477,0.0,0.1614,0.0795,4.68,2274,359.0211
